Date,Open,High,Low,Close,Volume
23-Feb-18,90.48,90.86,89.92,90.83,971319
22-Feb-18,90.79,91.20,90.06,90.23,1210859
21-Feb-18,90.49,91.55,90.42,90.42,1032964
20-Feb-18,89.50,90.83,89.30,90.36,1181133
16-Feb-18,88.75,90.72,88.65,89.99,1227940
15-Feb-18,88.01,89.14,87.79,89.14,1628132
14-Feb-18,86.30,87.44,86.24,87.34,1073923
13-Feb-18,85.84,87.08,85.80,86.88,874556
12-Feb-18,85.79,86.90,85.69,86.41,1797787
9-Feb-18,84.94,85.45,82.15,84.78,2680062
8-Feb-18,88.24,88.52,84.40,84.44,2568751
7-Feb-18,88.01,89.83,87.46,88.28,1782008
6-Feb-18,86.72,88.88,85.71,88.56,2469254
5-Feb-18,90.76,92.01,88.08,88.41,1915134
2-Feb-18,92.53,92.84,91.19,91.25,1700830
1-Feb-18,91.40,93.52,91.40,92.82,1321914
31-Jan-18,93.07,93.11,92.40,92.77,1541989
30-Jan-18,91.36,93.03,91.20,92.55,1510745
29-Jan-18,92.36,93.00,91.96,92.13,1988233
26-Jan-18,91.74,92.73,90.94,92.73,1661556
25-Jan-18,91.50,92.68,91.00,91.20,2190257
24-Jan-18,92.66,93.53,90.96,91.20,2465934
23-Jan-18,91.95,92.20,91.67,91.82,1486278
22-Jan-18,93.13,93.49,91.78,91.98,2060798
19-Jan-18,93.16,93.62,92.88,93.13,1790558
18-Jan-18,92.87,93.28,92.12,92.29,1516392
17-Jan-18,91.95,93.00,91.12,92.85,933823
16-Jan-18,92.00,92.61,91.19,91.28,1482074
12-Jan-18,90.86,91.94,90.46,91.83,845965
11-Jan-18,89.52,90.82,89.33,90.79,769773
10-Jan-18,90.59,90.69,89.26,89.51,936307
9-Jan-18,91.00,91.51,90.76,90.81,1250130
8-Jan-18,89.64,90.71,89.64,90.67,1361341
5-Jan-18,89.14,89.81,88.90,89.71,1101917
4-Jan-18,89.00,89.27,88.63,88.63,1398304
3-Jan-18,87.58,88.96,87.50,88.94,1342023
2-Jan-18,88.47,88.85,87.55,87.80,1227466
29-Dec-17,89.00,89.15,87.53,87.80,849164
28-Dec-17,88.25,88.65,87.84,88.60,809358
27-Dec-17,88.09,88.19,87.70,88.09,1148194
26-Dec-17,88.06,88.06,87.43,87.79,664544
22-Dec-17,88.77,89.02,87.75,88.14,693355
21-Dec-17,89.07,89.07,88.34,88.45,1060547
20-Dec-17,89.15,89.15,88.24,88.64,997257
19-Dec-17,89.72,90.07,88.79,88.80,1249266
18-Dec-17,89.56,89.86,89.25,89.45,936883
15-Dec-17,89.53,89.66,88.97,89.13,1551224
14-Dec-17,89.68,89.93,89.22,89.23,867184
13-Dec-17,89.64,90.01,89.07,89.50,882995
12-Dec-17,89.67,89.95,88.96,89.67,1355954
11-Dec-17,89.08,89.84,88.90,89.24,1027807
8-Dec-17,88.67,89.35,88.67,89.34,1606787
7-Dec-17,87.89,88.21,87.65,88.14,1513951
6-Dec-17,87.62,88.28,87.40,87.78,954319
5-Dec-17,88.50,88.73,87.97,88.18,1151311
4-Dec-17,90.37,90.60,88.44,88.46,1291437
1-Dec-17,90.66,90.74,88.06,89.80,1319634
30-Nov-17,90.43,91.08,90.01,90.59,4591326
29-Nov-17,91.00,91.26,89.45,89.77,1479545
28-Nov-17,90.76,91.25,90.62,91.04,1435813
27-Nov-17,90.77,90.96,90.38,90.38,1198363
24-Nov-17,89.99,91.09,89.90,90.91,641972
22-Nov-17,90.84,90.94,89.88,89.90,1229311
21-Nov-17,90.73,91.14,90.07,90.84,1487066
20-Nov-17,89.73,90.12,89.53,89.88,825149
17-Nov-17,89.11,89.72,88.91,89.52,1052363
16-Nov-17,88.72,89.69,88.59,89.31,1015894
15-Nov-17,88.72,88.87,88.18,88.41,1144082
14-Nov-17,88.28,89.16,88.08,88.98,1088555
13-Nov-17,88.00,88.62,87.86,88.48,1054773
10-Nov-17,86.68,88.36,86.58,88.21,1359118
9-Nov-17,87.18,87.39,86.14,86.72,837917
8-Nov-17,87.34,87.85,87.11,87.74,839975
7-Nov-17,87.18,87.70,87.11,87.37,919337
6-Nov-17,87.30,87.64,87.11,87.24,1143625
3-Nov-17,87.62,87.80,86.77,87.33,948715
2-Nov-17,87.00,87.89,86.90,87.59,1366012
1-Nov-17,87.55,87.83,86.74,86.87,1197390
31-Oct-17,86.12,87.14,85.96,87.00,1223997
30-Oct-17,86.43,86.56,85.65,85.76,891315
27-Oct-17,85.50,86.60,85.45,86.60,1259523
26-Oct-17,87.25,87.27,85.50,85.50,1808283
25-Oct-17,87.57,88.19,86.51,87.25,1828997
24-Oct-17,86.65,87.02,86.29,86.65,1075806
23-Oct-17,86.94,86.94,86.17,86.35,1282585
20-Oct-17,86.68,86.94,86.00,86.57,1250143
19-Oct-17,86.37,86.48,85.39,86.10,1594618
18-Oct-17,86.77,86.86,86.25,86.62,1043189
17-Oct-17,86.98,87.03,86.47,86.70,993881
16-Oct-17,87.39,87.48,86.81,86.94,1581094
13-Oct-17,87.93,88.00,87.09,87.20,2095150
12-Oct-17,86.75,87.79,86.70,87.77,717751
11-Oct-17,87.00,87.01,86.61,86.74,57540
10-Oct-17,86.64,87.08,86.50,87.02,773350
9-Oct-17,86.60,86.81,86.32,86.55,1023708
6-Oct-17,86.13,86.59,85.98,86.58,795172
5-Oct-17,86.05,86.30,85.67,86.30,1002664
4-Oct-17,84.99,85.88,84.76,85.76,1012420
3-Oct-17,85.00,85.18,84.70,85.00,988662
2-Oct-17,84.75,84.90,84.38,84.77,1533043
29-Sep-17,83.49,84.87,83.03,84.64,1847930
28-Sep-17,81.73,82.39,81.68,82.28,812672
27-Sep-17,81.99,82.24,81.68,81.97,1117183
26-Sep-17,82.05,82.16,81.55,81.62,868281
25-Sep-17,82.86,82.92,81.57,81.92,1329724
22-Sep-17,83.37,83.81,82.85,82.94,1618230
21-Sep-17,83.20,83.36,82.77,83.14,728443
20-Sep-17,83.23,83.25,82.40,82.99,655906
19-Sep-17,83.07,83.15,82.67,83.07,683432
18-Sep-17,82.56,83.01,82.23,82.80,1074646
15-Sep-17,82.17,82.60,81.85,82.58,1132260
14-Sep-17,81.52,82.29,81.52,82.21,782384
13-Sep-17,82.07,82.12,81.41,81.72,792162
12-Sep-17,81.95,82.30,81.75,82.12,757255
11-Sep-17,81.02,82.07,80.97,81.94,1023829
8-Sep-17,80.27,80.90,80.06,80.52,709948
7-Sep-17,80.71,80.84,80.27,80.51,692956
6-Sep-17,80.65,80.74,80.04,80.58,814692
5-Sep-17,80.70,80.90,79.86,80.35,822210
1-Sep-17,80.98,81.16,80.31,80.87,866930
31-Aug-17,80.50,81.13,80.33,80.94,1078636
30-Aug-17,80.10,80.47,79.98,80.31,984157
29-Aug-17,79.33,80.33,79.08,80.16,785796
28-Aug-17,80.00,80.00,79.55,79.75,734568
25-Aug-17,79.79,80.14,79.59,79.79,1311514
24-Aug-17,79.48,79.50,78.98,79.39,698050
23-Aug-17,79.19,79.94,78.90,79.40,1010623
22-Aug-17,78.92,79.75,78.92,79.70,1031422
21-Aug-17,78.30,78.78,78.12,78.71,808713
18-Aug-17,78.84,78.98,78.36,78.42,873963
17-Aug-17,79.05,79.46,78.89,78.95,1291072
16-Aug-17,79.15,79.70,79.01,79.32,937210
15-Aug-17,79.23,79.38,78.91,78.91,1914885
14-Aug-17,78.37,79.36,78.27,79.10,1366820
11-Aug-17,78.01,78.17,77.71,77.97,1101411
10-Aug-17,78.06,78.36,77.74,77.77,1850123
9-Aug-17,77.76,78.58,77.52,78.49,1135814
8-Aug-17,77.64,78.34,77.64,77.97,855078
7-Aug-17,77.58,78.09,77.58,77.98,1126932
4-Aug-17,78.07,78.13,77.47,77.66,1205809
3-Aug-17,77.74,78.38,77.56,77.83,2098026
2-Aug-17,77.61,77.98,77.43,77.84,1488844
1-Aug-17,77.77,77.77,76.80,77.38,1103581
31-Jul-17,-,76.86,-,76.62,1483690
28-Jul-17,75.94,76.26,75.23,76.13,1457699
27-Jul-17,74.97,75.93,74.82,75.84,2035055
26-Jul-17,76.20,77.47,74.03,74.94,2286720
25-Jul-17,75.88,76.18,75.40,75.84,1606594
24-Jul-17,75.70,75.85,75.27,75.64,1117635
21-Jul-17,75.45,75.81,75.24,75.57,826332
20-Jul-17,75.48,75.78,75.12,75.66,985585
19-Jul-17,75.17,75.67,75.02,75.58,791494
18-Jul-17,74.62,75.00,74.45,74.91,758484
17-Jul-17,74.57,75.19,74.32,74.84,695235
14-Jul-17,74.65,74.67,74.33,74.55,1053416
13-Jul-17,74.62,74.96,74.47,74.59,660086
12-Jul-17,74.17,74.67,73.90,74.58,1024523
11-Jul-17,73.75,74.00,73.37,73.66,724859
10-Jul-17,73.12,73.92,72.93,73.77,1025190
7-Jul-17,72.89,73.66,72.77,73.39,958906
