Date,Open,High,Low,Close,Volume
23-Feb-18,252.14,255.03,250.29,253.71,1827971
22-Feb-18,249.12,253.10,248.27,249.35,1934190
21-Feb-18,252.49,253.47,248.45,248.62,2815556
20-Feb-18,248.75,255.74,247.52,249.62,4169278
16-Feb-18,251.27,252.37,248.04,248.89,3263877
15-Feb-18,249.28,251.84,244.43,251.83,2553977
14-Feb-18,245.00,248.65,243.48,247.66,2549105
13-Feb-18,241.01,246.03,240.06,245.86,2371856
12-Feb-18,237.86,245.48,237.50,244.40,3506266
9-Feb-18,232.79,237.12,226.25,235.50,4328248
8-Feb-18,237.39,238.52,229.51,229.57,4319950
7-Feb-18,238.76,243.10,237.00,237.38,4047486
6-Feb-18,225.62,240.40,224.90,240.38,7774422
5-Feb-18,234.68,244.00,227.60,228.10,7077645
2-Feb-18,236.77,237.96,234.09,235.48,5835231
1-Feb-18,241.72,245.90,238.10,238.79,6685116
31-Jan-18,250.00,253.14,244.86,248.03,8048176
30-Jan-18,241.25,245.03,237.01,240.98,4600217
29-Jan-18,248.28,249.49,243.49,245.47,5040091
26-Jan-18,249.42,250.95,245.24,250.79,4901440
25-Jan-18,257.74,257.84,247.00,247.29,5952019
24-Jan-18,260.97,263.27,256.00,256.86,4540460
23-Jan-18,261.74,264.41,258.11,262.90,3539818
22-Jan-18,265.65,266.77,260.62,262.11,2723046
19-Jan-18,269.15,269.44,266.07,266.39,2996280
18-Jan-18,265.46,270.06,264.48,269.80,3031929
17-Jan-18,265.48,266.53,260.46,265.81,3736467
16-Jan-18,265.18,267.00,261.66,263.25,3352819
12-Jan-18,263.39,265.32,262.01,264.29,1988392
11-Jan-18,263.57,263.85,261.55,263.50,1772614
10-Jan-18,265.98,266.14,260.73,262.83,3160676
9-Jan-18,273.06,273.85,268.19,268.50,2602708
8-Jan-18,270.92,272.55,269.06,272.27,2097083
5-Jan-18,271.97,274.26,269.45,271.62,2863257
4-Jan-18,271.59,271.76,268.43,270.02,1906728
3-Jan-18,267.28,270.73,266.03,269.93,3116064
2-Jan-18,259.77,267.50,257.57,267.01,3313522
29-Dec-17,259.77,261.94,256.64,256.90,1798003
28-Dec-17,260.16,260.80,258.55,260.42,1364703
27-Dec-17,258.84,261.61,258.50,259.12,3561539
26-Dec-17,257.23,262.35,253.39,258.10,2225627
22-Dec-17,261.82,263.37,258.70,262.35,1461680
21-Dec-17,265.95,266.25,261.07,261.53,1775813
20-Dec-17,266.14,266.35,262.78,265.64,1984467
19-Dec-17,263.30,265.29,261.27,263.70,1909421
18-Dec-17,264.08,266.51,262.59,264.39,2978580
15-Dec-17,261.65,266.00,258.26,265.73,4509140
14-Dec-17,262.34,263.00,256.70,259.34,3759457
13-Dec-17,260.41,263.29,260.18,262.03,2694628
12-Dec-17,259.36,260.88,255.72,258.70,2854082
11-Dec-17,259.34,263.55,258.79,259.95,3494089
8-Dec-17,265.77,266.94,259.30,259.91,4184813
7-Dec-17,274.89,275.70,261.67,263.89,7928170
6-Dec-17,258.83,264.42,254.20,263.89,4875103
5-Dec-17,262.66,266.12,260.45,261.65,3811719
4-Dec-17,273.91,274.52,260.14,263.61,4843949
1-Dec-17,275.21,275.51,264.05,271.56,4772901
30-Nov-17,271.78,278.35,270.09,277.94,3145170
29-Nov-17,278.00,278.14,264.87,271.50,4723074
28-Nov-17,284.86,284.90,276.84,277.40,2679557
27-Nov-17,280.26,285.68,279.77,284.62,2623009
24-Nov-17,276.67,282.99,276.51,282.38,1157297
22-Nov-17,277.02,277.71,274.17,275.37,1864201
21-Nov-17,276.10,278.20,274.91,276.59,2090311
20-Nov-17,272.62,276.75,271.39,274.88,2863916
17-Nov-17,271.77,272.11,268.43,271.86,2406851
16-Nov-17,266.80,274.65,266.11,272.11,3100033
15-Nov-17,262.30,267.00,258.03,265.60,2903177
14-Nov-17,263.30,265.58,261.26,263.26,1971777
13-Nov-17,262.50,265.98,261.55,265.01,2806785
10-Nov-17,265.79,266.64,263.60,264.96,2033827
9-Nov-17,268.64,270.40,262.50,265.64,3097986
