Date,Open,High,Low,Close,Volume
23-Feb-18,39.56,39.76,39.40,39.73,1660459
22-Feb-18,39.20,39.87,39.20,39.55,2968819
21-Feb-18,39.16,39.63,39.10,39.14,3466159
20-Feb-18,39.33,39.45,39.07,39.21,3836061
16-Feb-18,39.01,39.77,38.69,39.62,2589462
15-Feb-18,38.48,39.21,38.30,39.12,3011124
14-Feb-18,37.50,38.21,37.35,38.12,5204048
13-Feb-18,37.38,37.80,37.33,37.76,3654019
12-Feb-18,38.37,38.54,37.40,37.53,5383714
9-Feb-18,38.68,38.73,36.75,37.87,6432799
8-Feb-18,39.09,39.15,38.10,38.44,7398593
7-Feb-18,40.09,40.50,39.31,39.33,7549054
6-Feb-18,35.71,37.01,35.60,36.93,6239584
5-Feb-18,37.32,37.66,36.51,36.51,3306164
2-Feb-18,38.10,38.19,37.45,37.46,1848653
1-Feb-18,38.12,38.70,37.97,38.35,2899683
31-Jan-18,37.67,38.31,37.57,38.28,4819344
30-Jan-18,37.53,37.87,37.40,37.57,3557273
29-Jan-18,38.17,38.35,37.51,37.63,4874407
26-Jan-18,39.26,39.28,38.10,38.12,3225430
25-Jan-18,39.10,39.30,38.80,39.21,2485469
24-Jan-18,38.56,38.97,38.55,38.84,3009541
23-Jan-18,37.70,38.41,37.56,38.40,3122338
22-Jan-18,38.62,38.62,37.57,37.76,3915491
19-Jan-18,38.79,38.94,38.49,38.72,3922993
18-Jan-18,38.93,39.28,38.72,38.79,3354495
17-Jan-18,39.30,39.94,38.92,39.04,4190877
16-Jan-18,38.00,38.54,37.90,38.39,4402790
12-Jan-18,38.47,38.47,37.69,37.90,4122286
11-Jan-18,37.84,38.45,37.69,38.38,3639927
10-Jan-18,38.40,38.46,37.78,37.85,2584622
9-Jan-18,38.72,38.82,38.48,38.50,2447631
8-Jan-18,38.57,38.82,38.47,38.62,2605582
5-Jan-18,38.46,38.68,38.25,38.59,2379910
4-Jan-18,38.63,38.84,38.30,38.35,2166866
3-Jan-18,38.68,38.68,38.34,38.53,2587846
2-Jan-18,38.12,38.65,38.11,38.63,2852080
29-Dec-17,37.92,38.09,37.71,37.85,1551285
28-Dec-17,37.67,37.94,37.45,37.92,1699716
27-Dec-17,37.68,37.83,37.42,37.56,1941015
26-Dec-17,37.99,38.00,37.43,37.60,2962662
22-Dec-17,37.57,37.97,37.36,37.97,2678001
21-Dec-17,38.20,38.25,37.58,37.63,2394076
20-Dec-17,38.28,38.41,37.74,37.99,5611874
19-Dec-17,38.63,39.20,38.26,38.26,4274573
18-Dec-17,39.64,39.82,38.49,38.53,4229730
15-Dec-17,38.81,39.55,38.39,39.40,7210065
14-Dec-17,38.71,38.80,38.26,38.29,2391897
13-Dec-17,38.90,39.09,38.56,38.64,3298527
12-Dec-17,38.89,39.69,38.82,38.89,4210412
11-Dec-17,39.61,39.95,39.32,39.60,3140144
8-Dec-17,40.26,40.30,38.61,39.60,6541723
7-Dec-17,40.67,40.92,40.64,40.81,1679748
6-Dec-17,40.88,41.07,40.71,40.80,2202778
5-Dec-17,40.66,40.94,40.42,40.79,2198800
4-Dec-17,40.54,41.17,40.13,40.65,3346182
1-Dec-17,39.98,40.08,38.98,39.74,1628638
30-Nov-17,39.45,40.04,39.40,39.91,2658792
29-Nov-17,39.56,39.72,39.45,39.56,2035104
28-Nov-17,40.21,40.32,39.40,39.58,2450588
27-Nov-17,40.00,40.28,39.94,40.04,1947724
24-Nov-17,39.71,39.97,39.60,39.94,699171
22-Nov-17,39.74,39.77,39.42,39.52,1632270
21-Nov-17,39.92,39.99,39.56,39.60,2280181
20-Nov-17,39.99,40.03,39.57,39.74,2251936
17-Nov-17,40.22,40.50,39.95,39.98,2979082
16-Nov-17,39.50,40.69,39.45,40.52,3258807
15-Nov-17,39.82,40.15,39.36,39.38,3501038
14-Nov-17,40.09,40.29,39.90,39.99,3021011
13-Nov-17,39.83,40.36,39.78,40.31,4434804
10-Nov-17,40.23,40.27,39.94,39.98,2826219
9-Nov-17,40.45,40.78,40.14,40.32,2857139
8-Nov-17,41.05,41.16,40.67,40.74,3323242
7-Nov-17,41.50,41.71,41.04,41.05,2244474
6-Nov-17,41.82,41.82,41.16,41.45,2752961
3-Nov-17,41.82,42.09,41.43,41.75,2866574
2-Nov-17,42.63,42.82,40.27,41.80,5981030
1-Nov-17,43.20,43.24,42.61,42.70,2264761
31-Oct-17,42.75,43.00,42.55,42.93,1628889
30-Oct-17,42.69,42.86,42.41,42.64,1238356
27-Oct-17,42.77,42.92,42.31,42.77,1804766
26-Oct-17,42.75,42.89,42.47,42.73,1744594
25-Oct-17,42.86,42.92,42.23,42.45,1688541
