Date,Open,High,Low,Close,Volume
23-Feb-18,68.43,68.78,68.23,68.76,2042006
22-Feb-18,69.24,69.34,68.09,68.20,2492649
21-Feb-18,70.07,70.56,69.51,69.58,2914441
20-Feb-18,69.33,69.98,69.04,69.45,1869328
16-Feb-18,69.16,69.89,68.55,69.50,2286232
15-Feb-18,69.90,70.09,69.19,69.60,2499698
14-Feb-18,68.27,70.07,68.09,69.92,2740154
13-Feb-18,68.61,69.07,68.23,68.75,2052355
12-Feb-18,67.57,68.95,67.56,68.77,3145990
9-Feb-18,67.30,67.62,64.80,67.07,5188931
8-Feb-18,69.59,69.60,66.75,66.76,3683577
7-Feb-18,68.61,69.95,68.38,69.12,3122572
6-Feb-18,67.43,69.45,66.77,69.27,4476034
5-Feb-18,69.72,70.47,67.92,68.04,3518195
2-Feb-18,71.00,71.49,69.75,69.95,2577684
1-Feb-18,71.93,72.29,70.93,71.11,2658066
31-Jan-18,71.81,72.17,71.44,71.61,3634628
30-Jan-18,71.65,72.70,71.63,71.79,3495956
29-Jan-18,71.44,72.10,71.22,71.94,3510202
26-Jan-18,71.01,71.66,70.71,71.65,2811762
25-Jan-18,71.17,71.33,70.38,70.76,2863815
24-Jan-18,69.38,71.49,68.90,71.17,6755825
23-Jan-18,68.73,69.58,68.43,68.51,4189863
22-Jan-18,68.59,68.90,68.05,68.86,3752559
19-Jan-18,69.33,69.52,68.33,68.56,4097353
18-Jan-18,69.56,69.64,68.85,69.02,2491022
17-Jan-18,68.56,69.60,68.44,69.45,3299540
16-Jan-18,69.40,69.73,68.21,68.52,3664020
12-Jan-18,68.98,69.72,68.81,69.69,3243963
11-Jan-18,68.83,69.14,68.15,68.80,2632409
10-Jan-18,68.19,68.88,67.87,67.95,3300864
9-Jan-18,67.13,68.02,66.88,67.63,3470382
8-Jan-18,66.22,66.30,65.95,66.05,2027088
5-Jan-18,67.00,67.12,66.20,66.30,3793549
4-Jan-18,66.90,67.11,66.46,66.85,3050324
3-Jan-18,66.74,67.13,66.06,66.90,2808203
2-Jan-18,67.22,67.26,66.60,66.75,2784023
29-Dec-17,66.90,66.90,66.35,66.37,1877017
28-Dec-17,66.93,67.00,66.26,66.48,1996996
27-Dec-17,66.16,66.76,66.02,66.76,2225525
26-Dec-17,66.38,66.57,65.62,65.69,1438924
22-Dec-17,66.33,66.90,66.11,66.35,1816866
21-Dec-17,67.45,67.59,66.04,66.34,3719157
20-Dec-17,68.50,69.17,67.66,67.70,3206979
19-Dec-17,67.35,68.74,67.08,68.13,6814472
18-Dec-17,66.60,67.15,66.18,66.60,4916933
15-Dec-17,64.92,66.20,64.67,65.95,5507234
14-Dec-17,65.42,65.77,65.09,65.18,2924160
13-Dec-17,66.35,66.76,65.36,65.41,3275124
12-Dec-17,66.55,66.88,66.15,66.55,2706934
11-Dec-17,66.76,67.09,66.67,67.03,2215985
8-Dec-17,66.32,67.12,66.32,66.91,1753460
7-Dec-17,66.03,66.43,65.87,66.18,2314853
6-Dec-17,65.90,66.58,65.66,66.06,3002853
5-Dec-17,67.03,67.11,65.77,65.94,2798952
4-Dec-17,67.08,67.88,66.95,67.25,4100508
1-Dec-17,65.32,66.09,64.89,66.00,3611871
30-Nov-17,65.42,65.99,64.30,65.64,5269906
29-Nov-17,66.51,66.63,65.47,65.70,3872851
28-Nov-17,66.37,67.05,66.04,66.51,2521269
27-Nov-17,66.76,67.17,66.08,66.16,3278300
24-Nov-17,66.67,66.83,66.35,66.71,1069720
22-Nov-17,66.70,66.99,66.46,66.79,1658676
21-Nov-17,66.75,67.31,66.40,67.00,2307556
20-Nov-17,66.29,66.48,65.90,66.13,1626440
17-Nov-17,65.79,66.31,65.61,66.22,1839217
16-Nov-17,66.02,66.28,65.68,65.82,2126398
15-Nov-17,65.89,66.18,65.42,65.78,2246742
14-Nov-17,65.93,66.32,65.22,66.02,2399050
13-Nov-17,64.46,66.02,64.45,65.98,2554543
10-Nov-17,65.79,66.05,63.60,64.66,4345186
9-Nov-17,65.67,66.46,65.59,66.18,2708678
8-Nov-17,65.89,66.06,65.16,65.93,2530413
7-Nov-17,66.87,67.81,66.00,66.38,3575321
6-Nov-17,65.37,66.40,65.37,65.67,3233243
3-Nov-17,65.33,65.64,65.21,65.43,1719060
2-Nov-17,64.57,65.68,64.18,65.20,5120067
1-Nov-17,66.58,66.66,64.14,64.57,5136625
31-Oct-17,66.16,66.80,66.06,66.39,2589153
30-Oct-17,67.21,67.33,65.98,66.02,2255651
27-Oct-17,66.50,67.72,66.02,67.21,2741526
26-Oct-17,66.24,66.88,66.24,66.60,2149513
25-Oct-17,66.41,66.67,65.72,65.84,2530606
24-Oct-17,66.25,66.42,65.93,66.42,2258040
23-Oct-17,65.80,66.23,65.56,66.10,2142904
20-Oct-17,66.29,66.67,65.71,65.88,2640156
19-Oct-17,67.33,67.38,65.64,65.79,4742765
18-Oct-17,68.16,68.16,67.05,67.46,2605676
17-Oct-17,67.83,68.50,67.82,68.13,1877900
16-Oct-17,67.64,68.32,67.30,68.24,2552002
13-Oct-17,67.38,68.02,67.00,67.94,2998032
12-Oct-17,66.97,67.44,66.78,66.86,2727898
11-Oct-17,67.13,67.42,66.95,66.99,183388
10-Oct-17,66.64,67.38,66.56,67.08,3571514
9-Oct-17,65.61,66.48,65.38,66.45,3157101
6-Oct-17,65.92,66.16,65.19,65.63,3411448
5-Oct-17,64.96,66.17,64.92,65.91,4504393
4-Oct-17,64.50,65.42,64.45,65.19,4010957
3-Oct-17,64.21,64.60,63.90,64.10,4082370
2-Oct-17,64.06,64.55,63.91,64.43,3339281
29-Sep-17,64.34,64.78,63.77,64.57,3477523
28-Sep-17,63.12,64.40,63.01,64.37,4009007
27-Sep-17,65.30,65.68,63.55,63.68,3942964
26-Sep-17,64.96,66.25,64.78,65.32,6144255
25-Sep-17,63.81,64.38,63.08,63.50,5020397
22-Sep-17,64.50,64.64,63.86,64.33,3513512
21-Sep-17,64.67,64.94,64.20,64.45,3983639
20-Sep-17,65.24,65.31,63.94,64.48,3798102
19-Sep-17,65.20,65.56,64.64,65.22,3909035
18-Sep-17,65.50,66.09,64.93,65.19,4926232
15-Sep-17,67.27,67.34,65.08,65.94,10390474
14-Sep-17,67.90,69.08,67.85,68.74,3187373
13-Sep-17,67.91,68.45,67.84,68.42,2302849
12-Sep-17,67.82,68.18,67.63,68.18,2634985
11-Sep-17,66.93,68.03,66.80,67.65,6671226
8-Sep-17,65.75,66.05,65.07,65.57,6086931
7-Sep-17,66.97,67.19,65.60,65.66,4908300
6-Sep-17,66.41,67.37,66.25,66.96,3573733
5-Sep-17,68.77,68.88,65.95,66.97,7022962
1-Sep-17,69.82,69.89,69.03,69.13,1683213
31-Aug-17,68.89,69.55,68.81,69.48,3059965
30-Aug-17,68.17,68.66,68.17,68.54,1411753
29-Aug-17,67.79,68.21,67.50,68.11,1978559
28-Aug-17,68.17,68.62,68.17,68.55,1713866
25-Aug-17,68.25,68.58,68.02,68.17,1730940
24-Aug-17,68.14,68.42,67.90,68.18,1682596
23-Aug-17,67.74,68.04,67.67,67.72,1888016
22-Aug-17,68.38,68.69,67.95,68.29,2501011
21-Aug-17,67.67,68.58,67.52,68.50,2442598
18-Aug-17,67.59,67.90,67.20,67.46,2797224
17-Aug-17,68.81,68.82,67.44,67.51,2748183
16-Aug-17,68.90,69.16,68.52,68.87,2279573
15-Aug-17,68.56,69.24,68.51,68.71,2871926
14-Aug-17,68.25,68.48,67.96,68.03,2870125
11-Aug-17,67.59,67.70,67.10,67.48,3320388
10-Aug-17,68.00,68.06,67.34,67.38,3741076
9-Aug-17,67.85,68.54,67.70,68.16,4229864
8-Aug-17,68.05,68.87,67.93,68.03,3545430
7-Aug-17,68.03,68.12,67.69,68.00,2126374
4-Aug-17,67.50,68.27,67.42,67.81,2701681
3-Aug-17,67.11,68.02,67.11,67.42,3225378
2-Aug-17,67.91,68.00,67.06,67.50,3637392
1-Aug-17,68.17,68.29,67.27,67.48,4113785
31-Jul-17,-,-,66.63,66.78,3637310
28-Jul-17,66.27,66.64,66.05,66.40,2034431
27-Jul-17,67.35,67.40,65.91,66.34,3817702
26-Jul-17,67.26,67.27,66.47,66.70,2779035
25-Jul-17,67.62,67.80,67.08,67.15,2274410
24-Jul-17,67.13,67.35,66.91,66.99,2208841
21-Jul-17,67.21,67.56,66.94,67.00,2755769
20-Jul-17,66.98,67.80,66.95,67.58,2441618
19-Jul-17,66.89,67.10,66.60,66.77,2216295
18-Jul-17,66.83,67.25,66.50,66.75,3059154
17-Jul-17,66.06,67.18,65.74,67.02,2841590
14-Jul-17,66.10,66.15,65.57,65.75,1950316
13-Jul-17,65.98,66.40,65.90,66.17,2435943
12-Jul-17,66.10,66.30,65.92,65.97,1820577
11-Jul-17,65.50,65.82,65.07,65.75,2815664
10-Jul-17,65.81,66.01,65.73,65.84,2104185
7-Jul-17,65.77,66.48,65.63,65.83,3252235
6-Jul-17,65.68,66.03,65.22,65.48,2946613
5-Jul-17,65.59,66.71,65.53,66.54,2514062
3-Jul-17,65.65,66.34,65.24,65.25,1773373
30-Jun-17,65.71,65.99,65.45,65.57,2599269
29-Jun-17,66.03,66.10,65.00,65.15,2776335
28-Jun-17,65.78,66.30,65.78,66.10,2577700
27-Jun-17,65.90,66.07,65.02,65.05,3014714
26-Jun-17,66.52,67.06,65.97,66.00,3372845
23-Jun-17,65.85,66.56,65.80,66.45,4000199
22-Jun-17,66.12,67.30,65.66,65.69,6039076
21-Jun-17,65.98,66.62,65.90,66.43,3518077
20-Jun-17,66.32,66.44,65.59,65.70,2394471
19-Jun-17,65.95,66.37,65.68,66.32,2846330
16-Jun-17,65.45,65.67,65.10,65.64,3838000
15-Jun-17,64.29,65.52,64.07,65.50,2699533
14-Jun-17,64.81,65.29,64.46,64.76,3613704
13-Jun-17,64.00,64.51,63.87,64.06,2469202
12-Jun-17,63.27,63.59,62.67,63.59,3069548
9-Jun-17,64.20,64.24,62.78,63.34,3200126
8-Jun-17,64.35,64.62,64.06,64.33,3233958
7-Jun-17,64.87,64.87,64.18,64.30,5103740
6-Jun-17,64.90,64.97,64.31,64.33,3087887
5-Jun-17,65.19,65.28,64.81,65.06,3056655
2-Jun-17,65.90,66.48,65.40,65.47,5235110
1-Jun-17,64.31,65.50,64.19,65.40,3578982
31-May-17,63.94,64.33,63.64,64.07,3414115
30-May-17,63.27,64.05,63.25,63.74,2219405
26-May-17,62.87,63.45,62.83,63.36,1881824
25-May-17,62.52,63.06,62.49,62.77,2383759
24-May-17,61.94,62.08,61.66,62.02,2475363
23-May-17,62.09,62.14,61.63,61.92,2135057
22-May-17,61.85,62.24,61.72,62.05,2067889
19-May-17,61.58,61.82,61.07,61.50,2883417
18-May-17,60.61,61.49,60.27,61.04,3207053
17-May-17,61.00,61.15,59.68,59.75,3349492
16-May-17,61.19,61.58,60.99,61.20,3172267
15-May-17,61.03,61.11,60.74,60.91,2735639
12-May-17,61.88,61.88,61.05,61.19,2813074
11-May-17,61.92,62.16,61.64,61.99,2365493
10-May-17,62.92,63.03,62.04,62.14,4573900
9-May-17,62.97,63.24,62.84,63.22,2677625
8-May-17,62.97,63.15,62.63,62.73,2194182
5-May-17,63.29,63.38,62.84,63.02,2236053
4-May-17,63.12,63.41,62.88,62.97,3110147
3-May-17,62.70,62.80,62.40,62.64,2258681
2-May-17,62.55,62.86,62.27,62.70,2880182
1-May-17,61.78,63.15,61.59,62.55,3479782
28-Apr-17,61.61,62.50,61.44,61.77,4847138
27-Apr-17,60.90,61.26,60.87,60.98,3274832
26-Apr-17,60.19,60.69,60.12,60.55,3668410
25-Apr-17,60.00,60.27,59.92,60.03,2540609
24-Apr-17,59.91,60.05,59.44,59.62,3183942
21-Apr-17,59.14,59.43,58.80,58.96,2193128
20-Apr-17,59.06,59.48,58.92,59.21,2943172
19-Apr-17,58.83,59.05,58.44,58.68,3141113
18-Apr-17,58.58,58.66,57.97,58.37,4371522
17-Apr-17,57.71,58.50,57.39,58.46,2982082
13-Apr-17,57.77,58.34,57.42,57.47,3200257
12-Apr-17,58.23,58.27,57.47,57.73,3901458
11-Apr-17,58.75,58.84,57.53,57.78,4076237
10-Apr-17,58.80,58.99,58.29,58.44,2888376
7-Apr-17,58.96,59.18,58.55,58.61,4726445
6-Apr-17,58.63,59.36,58.29,59.06,3553208
5-Apr-17,58.70,59.19,58.34,58.80,3356317
4-Apr-17,58.86,59.06,58.40,58.64,4480338
3-Apr-17,59.00,59.05,58.42,58.72,4372531
31-Mar-17,59.17,59.27,58.86,58.91,3435229
30-Mar-17,59.37,59.40,59.05,59.29,4780667
29-Mar-17,59.09,59.37,58.54,58.96,4112245
28-Mar-17,59.88,60.24,59.00,59.26,7319787
27-Mar-17,58.47,58.94,58.06,58.87,4375976
24-Mar-17,58.82,59.12,58.39,58.60,4531752
23-Mar-17,58.47,58.95,58.43,58.52,3638884
22-Mar-17,57.58,58.44,57.09,58.29,5536709
21-Mar-17,58.37,58.76,57.69,57.79,4017256
20-Mar-17,57.76,57.85,57.55,57.76,1937734
17-Mar-17,57.75,57.96,57.58,57.64,3796630
16-Mar-17,57.27,57.59,57.18,57.54,2170733
15-Mar-17,57.05,57.54,56.90,57.37,2389165
14-Mar-17,57.06,57.30,56.73,56.99,2322380
13-Mar-17,57.36,57.42,57.06,57.11,2362650
10-Mar-17,56.64,57.46,56.61,57.21,3720515
9-Mar-17,55.78,56.25,55.69,56.20,2492952
8-Mar-17,55.78,55.88,55.49,55.53,2345141
7-Mar-17,55.65,55.76,55.33,55.53,2172016
6-Mar-17,55.60,55.87,55.07,55.74,2754501
3-Mar-17,56.26,56.31,55.52,55.72,3252961
2-Mar-17,56.54,56.67,56.09,56.57,1852711
1-Mar-17,56.51,56.72,56.18,56.50,2682810
28-Feb-17,56.22,56.41,55.93,55.95,2542491
27-Feb-17,56.11,56.13,55.71,56.05,3478132
24-Feb-17,55.89,56.12,55.59,56.03,3586664
23-Feb-17,56.62,56.88,55.85,55.92,4377147
22-Feb-17,55.37,55.72,54.75,55.50,3625237
21-Feb-17,55.53,56.07,55.23,55.89,2780345
17-Feb-17,55.76,55.80,55.21,55.40,3954074
16-Feb-17,56.34,56.46,55.70,56.03,2674492
15-Feb-17,56.03,56.53,55.61,56.48,3190217
14-Feb-17,56.53,56.64,56.28,56.37,2755528
13-Feb-17,56.63,56.93,56.43,56.46,2688057
10-Feb-17,56.02,56.33,55.88,56.25,2610317
9-Feb-17,55.47,56.48,55.45,56.31,3283833
8-Feb-17,55.70,55.78,55.35,55.59,1723996
7-Feb-17,55.56,55.64,55.19,55.45,1550046
6-Feb-17,55.08,55.58,55.02,55.50,1466935
3-Feb-17,55.42,55.72,55.21,55.28,1573611
2-Feb-17,55.45,55.46,55.08,55.31,1514367
1-Feb-17,55.27,55.70,55.02,55.47,1952068
31-Jan-17,55.64,55.64,54.75,55.38,2966081
30-Jan-17,56.00,56.14,55.52,55.64,3278992
27-Jan-17,56.94,56.98,56.11,56.29,2927752
26-Jan-17,56.81,57.79,56.45,56.93,5702299
25-Jan-17,54.70,55.88,54.65,55.83,5113236
24-Jan-17,53.72,54.70,53.66,54.53,2532776
23-Jan-17,53.33,53.82,53.03,53.77,2381144
20-Jan-17,53.53,53.95,53.02,53.30,2666166
19-Jan-17,53.60,54.14,53.42,53.45,2163300
18-Jan-17,52.79,53.73,52.65,53.60,3185992
17-Jan-17,53.48,53.48,52.74,53.09,2738192
13-Jan-17,53.47,53.75,53.19,53.46,1940302
12-Jan-17,54.22,54.30,53.25,53.64,3121418
11-Jan-17,54.29,54.69,54.07,54.56,3234721
10-Jan-17,53.90,54.87,53.78,54.25,4197139
9-Jan-17,53.37,53.95,53.35,53.69,2413767
6-Jan-17,53.59,54.06,53.14,53.65,3669575
5-Jan-17,53.05,53.99,52.82,53.71,4022336
4-Jan-17,52.45,52.92,52.24,52.82,3169837
3-Jan-17,52.23,52.52,51.74,52.14,3450973
30-Dec-16,52.25,52.37,51.70,52.06,2323807
29-Dec-16,52.34,52.46,51.97,51.99,1639974
28-Dec-16,52.55,52.63,52.08,52.19,1965642
27-Dec-16,53.00,53.41,52.64,52.64,1290504
23-Dec-16,52.63,53.12,52.35,53.03,2351836
22-Dec-16,52.99,53.16,52.08,52.41,2693191
21-Dec-16,52.27,53.25,52.07,53.09,4565565
20-Dec-16,51.76,53.12,51.38,52.49,6363612
19-Dec-16,50.90,51.60,50.77,51.32,5040569
16-Dec-16,52.45,52.53,51.40,51.50,6323710
15-Dec-16,52.76,53.67,51.95,52.96,6992945
14-Dec-16,52.55,53.00,52.30,52.41,3522275
13-Dec-16,52.39,52.68,52.05,52.15,5387712
12-Dec-16,52.48,52.54,51.68,52.13,3895887
9-Dec-16,52.79,53.40,52.78,53.34,3136056
8-Dec-16,53.01,53.37,52.78,52.92,4104130
7-Dec-16,52.15,53.29,52.10,53.16,3853758
6-Dec-16,51.96,52.69,51.83,52.58,3510807
5-Dec-16,51.32,52.39,51.19,51.63,3800482
2-Dec-16,50.02,50.63,49.84,50.40,5594701
1-Dec-16,50.85,51.11,49.73,49.88,5822320
30-Nov-16,52.39,52.42,51.29,51.41,5548491
29-Nov-16,52.35,53.27,52.20,53.22,4152852
28-Nov-16,52.09,52.27,51.59,52.06,2338277
25-Nov-16,52.25,52.59,51.90,52.55,1498895
23-Nov-16,52.02,52.43,51.73,52.30,3324223
22-Nov-16,51.02,51.86,50.90,51.77,3732860
21-Nov-16,51.46,51.63,51.12,51.26,3345230
18-Nov-16,51.14,51.64,51.03,51.50,2278694
17-Nov-16,50.94,51.65,50.86,51.50,3087774
16-Nov-16,50.48,50.97,50.04,50.94,3681718
15-Nov-16,51.00,51.00,50.40,50.97,2512739
14-Nov-16,49.59,50.97,49.50,50.78,5583686
11-Nov-16,49.72,50.16,49.50,49.82,3722799
10-Nov-16,49.36,50.22,49.13,49.92,4968123
9-Nov-16,48.94,49.56,48.44,49.36,4594336
8-Nov-16,48.81,49.98,48.73,49.82,2519486
