Date,Open,High,Low,Close,Volume
23-Feb-18,359.73,368.09,356.27,365.06,613542
22-Feb-18,361.02,365.26,355.02,356.75,601081
21-Feb-18,359.34,367.38,356.51,360.97,878277
20-Feb-18,364.98,365.23,358.67,358.77,803193
16-Feb-18,364.03,370.09,361.49,365.66,751952
15-Feb-18,359.29,365.92,355.63,363.67,1096707
14-Feb-18,354.06,359.28,352.01,358.94,915515
13-Feb-18,354.46,357.49,353.41,355.68,772400
12-Feb-18,350.26,360.38,350.00,357.88,855081
9-Feb-18,351.41,355.56,343.15,349.43,1908166
8-Feb-18,362.10,363.04,346.13,348.65,1769875
7-Feb-18,367.11,370.52,360.06,363.55,1554983
6-Feb-18,366.08,370.96,360.12,369.75,4492123
5-Feb-18,391.60,395.00,371.47,372.57,2872626
2-Feb-18,380.00,396.64,375.50,387.50,4374876
1-Feb-18,376.11,380.26,371.14,371.18,1928171
31-Jan-18,374.81,379.32,373.21,377.25,2152768
30-Jan-18,376.37,377.98,371.84,376.57,1241633
29-Jan-18,375.24,376.62,370.71,374.50,925630
26-Jan-18,375.83,378.14,374.31,377.00,1228545
25-Jan-18,376.23,378.38,371.70,375.14,981775
24-Jan-18,370.45,377.06,367.27,376.18,1758310
23-Jan-18,367.81,372.00,366.16,369.25,1043114
22-Jan-18,366.37,371.00,366.00,370.25,1821955
19-Jan-18,366.73,370.00,362.80,366.05,1453378
18-Jan-18,356.49,365.25,356.49,365.25,1534564
17-Jan-18,358.59,359.99,352.06,357.84,1119462
16-Jan-18,352.18,356.54,349.87,352.93,1112560
12-Jan-18,357.39,359.56,353.08,354.00,644642
11-Jan-18,350.28,356.19,348.32,355.27,1191089
10-Jan-18,354.02,356.46,347.53,350.83,1092374
9-Jan-18,356.66,358.77,354.15,354.76,938935
8-Jan-18,354.47,360.19,351.63,356.55,1485897
5-Jan-18,352.02,354.40,349.08,350.88,1960497
4-Jan-18,356.75,358.00,346.97,349.79,1176448
3-Jan-18,354.06,364.38,349.59,353.03,2500770
2-Jan-18,338.43,352.82,337.77,348.97,2789254
29-Dec-17,335.14,342.02,333.82,335.96,846786
28-Dec-17,334.45,339.78,333.00,338.03,764615
27-Dec-17,341.40,341.50,332.31,333.25,2044745
26-Dec-17,336.84,340.50,336.10,340.40,1123774
22-Dec-17,331.49,341.11,331.49,338.20,1460343
21-Dec-17,317.86,336.83,316.78,332.94,1866449
20-Dec-17,317.06,317.28,312.53,316.38,1949744
19-Dec-17,322.65,324.34,316.43,316.97,1726273
18-Dec-17,324.47,326.99,321.55,323.23,1985493
15-Dec-17,331.98,331.98,321.31,322.31,3537952
