Date,Open,High,Low,Close,Volume
23-Feb-18,39.15,39.65,38.91,39.50,16514379
22-Feb-18,39.06,39.57,38.57,38.80,18800919
21-Feb-18,39.45,39.84,39.00,39.01,14230330
20-Feb-18,39.54,39.69,39.04,39.47,18163843
16-Feb-18,39.99,40.42,39.69,39.79,22563873
15-Feb-18,39.76,40.12,39.26,40.08,21687749
14-Feb-18,38.82,39.62,38.50,39.43,21982548
13-Feb-18,38.16,39.17,38.10,38.96,18133300
12-Feb-18,38.60,39.07,38.26,38.54,30682529
9-Feb-18,38.37,38.99,37.43,38.57,37376044
8-Feb-18,39.90,40.16,38.15,38.19,34122878
7-Feb-18,39.50,40.42,39.37,40.15,33065633
6-Feb-18,38.92,39.80,38.50,39.67,48696330
5-Feb-18,41.36,41.64,39.10,39.20,42367315
2-Feb-18,41.50,42.16,40.83,41.11,32030561
1-Feb-18,42.16,42.59,41.88,41.89,26485924
31-Jan-18,42.29,42.73,42.08,42.53,26926256
30-Jan-18,42.03,42.46,41.69,42.34,21398620
29-Jan-18,42.30,42.34,41.35,41.98,21559313
26-Jan-18,42.10,42.80,41.95,42.80,27999907
25-Jan-18,43.12,43.53,41.98,42.14,27799089
24-Jan-18,42.70,44.00,41.57,42.99,48918765
23-Jan-18,42.50,42.84,41.96,42.44,19155525
22-Jan-18,42.41,42.92,42.15,42.89,22437395
19-Jan-18,41.95,42.58,41.79,42.50,23591658
18-Jan-18,41.06,41.94,41.01,41.85,21817334
17-Jan-18,42.05,42.21,41.40,41.68,17078051
16-Jan-18,42.59,42.59,41.75,41.82,19018134
12-Jan-18,42.57,42.71,41.93,42.44,18970044
11-Jan-18,41.20,42.67,41.14,42.60,36703666
10-Jan-18,40.43,41.17,40.16,41.09,20198106
9-Jan-18,40.53,41.03,40.45,40.61,17026038
8-Jan-18,40.77,41.03,40.29,40.48,15189453
5-Jan-18,40.91,41.24,40.41,41.04,17007527
4-Jan-18,40.47,40.72,40.10,40.67,18143793
3-Jan-18,40.75,41.37,40.05,40.41,21062861
2-Jan-18,40.86,41.11,40.05,41.07,18270282
29-Dec-17,40.10,40.42,40.05,40.05,12231043
28-Dec-17,40.58,40.58,40.03,40.29,9197971
27-Dec-17,40.84,40.85,40.25,40.41,12029639
26-Dec-17,40.64,41.01,40.63,40.82,10478701
22-Dec-17,40.84,41.09,40.54,40.78,13571539
21-Dec-17,39.48,41.24,39.40,40.81,34401719
20-Dec-17,39.40,39.58,38.96,39.38,17191005
19-Dec-17,39.46,39.54,38.86,39.14,21131908
18-Dec-17,39.98,40.08,39.45,39.54,18523266
15-Dec-17,39.49,39.87,38.99,39.71,47358431
14-Dec-17,38.81,39.71,38.19,39.12,23292274
13-Dec-17,39.51,39.54,38.50,38.58,27981080
12-Dec-17,39.40,40.15,39.00,39.51,33637642
11-Dec-17,38.28,38.46,37.96,38.44,23772097
8-Dec-17,38.50,38.50,37.87,37.95,22223994
7-Dec-17,38.50,38.57,37.75,37.89,29282439
6-Dec-17,39.83,39.84,38.55,38.63,25463737
5-Dec-17,39.87,40.39,39.47,39.52,28738152
4-Dec-17,39.42,40.73,39.42,40.32,55137392
1-Dec-17,37.15,38.70,37.11,38.43,32532614
30-Nov-17,36.97,37.64,36.48,37.54,42859852
29-Nov-17,37.08,37.72,36.01,37.19,33941016
28-Nov-17,35.56,36.25,35.26,36.25,34506705
27-Nov-17,35.78,35.87,35.31,35.55,24580496
24-Nov-17,36.29,36.35,35.78,35.87,12296441
22-Nov-17,36.39,36.49,36.13,36.41,16402287
21-Nov-17,36.14,36.50,36.00,36.42,22750360
20-Nov-17,36.10,36.35,35.75,35.83,19409481
17-Nov-17,37.00,37.00,36.12,36.16,38138596
16-Nov-17,36.90,37.57,36.90,37.07,21597781
15-Nov-17,36.90,37.28,36.67,37.18,20447110
14-Nov-17,37.01,37.06,36.61,36.86,20192118
13-Nov-17,36.69,37.28,36.59,37.25,16256619
10-Nov-17,36.50,37.31,36.50,36.85,18010307
9-Nov-17,35.98,36.92,35.83,36.56,16159783
8-Nov-17,36.51,36.63,36.07,36.21,23914880
7-Nov-17,35.57,36.91,35.57,36.39,38113915
6-Nov-17,35.58,36.06,35.28,35.54,23362179
3-Nov-17,35.08,35.69,34.78,35.68,30164260
2-Nov-17,36.09,36.09,34.92,35.15,40318979
1-Nov-17,36.25,36.42,35.94,36.08,18199801
31-Oct-17,36.51,36.57,35.93,36.03,21828568
30-Oct-17,36.67,36.70,36.06,36.50,29432242
27-Oct-17,35.93,36.92,35.34,36.79,51081726
26-Oct-17,35.89,37.20,35.52,36.27,58632000
25-Oct-17,36.22,36.85,36.20,36.83,26233683
24-Oct-17,36.64,36.88,36.26,36.50,25248379
23-Oct-17,37.27,37.27,36.52,36.55,30745765
20-Oct-17,37.20,37.22,36.87,37.22,14577651
19-Oct-17,36.15,37.01,36.05,36.90,25334168
18-Oct-17,36.55,36.63,36.13,36.20,17992916
17-Oct-17,36.57,36.73,36.44,36.47,14930277
16-Oct-17,36.16,37.09,36.12,36.61,26664894
13-Oct-17,35.92,36.16,35.26,36.01,43672458
12-Oct-17,36.80,36.90,35.78,35.95,50704486
11-Oct-17,37.64,37.64,37.20,37.42,26369098
10-Oct-17,37.80,38.04,37.51,37.69,15016924
9-Oct-17,37.99,38.25,37.72,37.80,10685053
6-Oct-17,38.31,38.45,37.95,38.01,18821459
5-Oct-17,38.60,38.78,38.09,38.35,20141593
4-Oct-17,38.35,38.61,38.12,38.59,20979252
3-Oct-17,37.78,38.38,37.69,38.30,18542136
2-Oct-17,38.41,38.85,37.93,37.97,18159103
29-Sep-17,37.82,38.51,37.61,38.48,19204345
28-Sep-17,38.25,38.40,37.73,37.82,16361270
27-Sep-17,37.83,38.84,37.72,38.53,24556750
26-Sep-17,37.90,38.08,37.64,37.81,16012285
25-Sep-17,38.07,38.11,37.54,37.91,21601830
22-Sep-17,37.28,38.14,37.27,38.10,21749229
21-Sep-17,37.38,37.74,37.37,37.47,18562727
20-Sep-17,37.44,37.80,37.25,37.46,31081275
19-Sep-17,37.07,37.42,36.66,37.30,38769662
18-Sep-17,36.88,37.30,36.59,37.11,27256941
15-Sep-17,37.55,37.55,36.44,36.93,62370131
14-Sep-17,37.94,38.04,37.57,37.60,26552569
13-Sep-17,37.89,38.31,37.88,37.96,23398162
12-Sep-17,38.38,38.83,37.56,37.90,36773178
11-Sep-17,38.30,38.42,37.56,37.83,29644553
8-Sep-17,38.45,38.46,37.51,38.21,53868234
7-Sep-17,41.25,41.25,38.21,38.60,70719002
6-Sep-17,40.80,41.34,40.55,41.17,14572771
5-Sep-17,40.97,41.15,40.40,40.67,11840413
1-Sep-17,40.77,41.23,40.65,41.06,11343395
31-Aug-17,40.89,40.98,40.52,40.61,14273373
30-Aug-17,40.10,40.93,40.01,40.82,11902136
29-Aug-17,40.17,40.42,40.08,40.16,9145966
28-Aug-17,40.34,40.48,40.17,40.34,8331393
25-Aug-17,40.32,40.55,39.92,40.20,13409688
24-Aug-17,40.80,40.88,40.01,40.14,14401728
23-Aug-17,41.25,41.30,40.62,40.65,11720842
22-Aug-17,40.93,41.51,40.86,41.35,11752279
21-Aug-17,40.53,40.94,40.47,40.80,16498132
18-Aug-17,40.12,40.76,40.04,40.52,19547097
17-Aug-17,41.20,41.24,40.26,40.27,15084607
16-Aug-17,41.68,41.68,41.05,41.24,11617473
15-Aug-17,41.96,41.99,41.24,41.50,13599360
14-Aug-17,41.48,41.98,41.38,41.90,18477558
11-Aug-17,40.76,41.28,40.67,41.11,16735288
10-Aug-17,40.40,41.05,40.38,40.73,20578429
9-Aug-17,39.54,40.67,39.36,40.63,17401750
8-Aug-17,39.62,40.17,39.43,39.92,13626153
7-Aug-17,39.63,39.70,39.45,39.61,12280841
4-Aug-17,39.83,39.84,39.54,39.60,11476602
3-Aug-17,39.63,39.99,39.51,39.70,16315039
2-Aug-17,40.17,40.19,39.54,40.01,17281906
1-Aug-17,40.40,40.85,40.11,40.34,18798809
31-Jul-17,39.94,40.66,39.90,40.45,27130972
28-Jul-17,39.35,39.60,39.14,39.52,20378111
27-Jul-17,40.15,40.25,38.87,39.43,51420448
26-Jul-17,39.63,39.97,39.15,39.35,25370663
25-Jul-17,39.65,39.92,39.49,39.75,17875132
24-Jul-17,39.65,39.70,39.26,39.47,11227430
21-Jul-17,39.38,40.00,39.34,39.63,11648284
20-Jul-17,39.34,39.70,39.17,39.49,14159267
19-Jul-17,39.26,39.36,38.84,39.34,11517759
18-Jul-17,39.29,39.30,38.80,39.18,11931951
17-Jul-17,39.12,39.33,39.06,39.20,10835679
14-Jul-17,39.46,39.49,38.62,39.20,19790218
13-Jul-17,39.06,39.36,39.04,39.31,15999342
12-Jul-17,39.23,39.30,38.99,39.02,13415524
11-Jul-17,38.74,38.98,38.62,38.77,19858609
10-Jul-17,38.56,38.95,38.51,38.76,13675406
7-Jul-17,38.30,38.74,38.25,38.57,17471267
6-Jul-17,38.51,38.59,38.14,38.25,14121860
5-Jul-17,38.51,38.77,38.30,38.71,20074146
3-Jul-17,39.08,39.25,38.32,38.36,11541722
30-Jun-17,39.13,39.15,38.75,38.92,18261622
29-Jun-17,39.57,39.77,38.28,38.87,24803625
28-Jun-17,39.27,40.00,39.18,39.86,18067428
27-Jun-17,39.51,39.60,39.09,39.25,25062372
26-Jun-17,39.68,39.75,39.16,39.59,18124326
23-Jun-17,39.93,39.97,39.35,39.50,27861316
22-Jun-17,40.34,40.58,39.92,39.94,18584030
21-Jun-17,40.40,40.53,40.01,40.28,20115944
20-Jun-17,40.50,41.01,39.92,40.39,27959045
19-Jun-17,41.82,41.92,41.20,41.80,15147404
16-Jun-17,41.17,41.34,40.68,41.28,27387613
15-Jun-17,40.94,41.52,40.89,41.44,12179147
14-Jun-17,41.41,41.41,40.86,41.09,12170797
13-Jun-17,40.79,41.27,40.78,41.22,11430017
12-Jun-17,40.56,41.52,40.56,40.97,15749248
9-Jun-17,40.92,41.06,40.48,40.69,20496998
8-Jun-17,41.81,41.90,40.73,40.94,25478597
7-Jun-17,41.79,41.96,41.64,41.89,12862979
6-Jun-17,41.83,41.85,41.55,41.72,12868963
5-Jun-17,42.13,42.18,41.54,41.79,14300038
2-Jun-17,41.70,42.17,41.55,41.99,17386986
1-Jun-17,41.63,41.83,41.46,41.66,17969811
31-May-17,41.11,41.71,41.07,41.69,26340547
30-May-17,41.03,41.64,40.88,41.10,25469511
26-May-17,40.21,40.99,40.21,40.91,18189485
25-May-17,40.55,40.80,40.23,40.34,35101098
24-May-17,39.85,40.40,39.68,40.33,17188450
23-May-17,39.65,39.87,39.36,39.78,15488472
22-May-17,39.02,39.56,38.76,39.49,13109617
19-May-17,38.33,38.90,38.20,38.85,18739647
18-May-17,38.45,39.01,38.10,38.67,20337393
17-May-17,38.68,38.74,37.92,38.10,22168775
16-May-17,39.09,39.09,38.69,38.82,17815916
15-May-17,38.89,39.15,38.87,38.97,11901960
12-May-17,39.22,39.23,38.89,38.98,12480984
11-May-17,38.86,39.32,38.85,39.26,13484033
10-May-17,39.02,39.10,38.78,39.10,12920699
9-May-17,39.19,39.28,38.83,39.08,12511483
8-May-17,39.33,39.36,38.78,39.20,17214371
5-May-17,38.53,39.02,38.28,39.01,17640743
4-May-17,38.38,38.67,37.90,38.29,17685295
3-May-17,39.43,39.45,38.16,38.54,26298704
2-May-17,39.32,39.35,39.06,39.34,14481846
1-May-17,39.42,39.45,38.99,39.19,15976779
28-Apr-17,39.50,39.54,38.99,39.19,19451970
27-Apr-17,39.55,40.62,39.18,39.59,35177237
26-Apr-17,38.68,39.18,38.50,38.79,31464127
25-Apr-17,38.01,38.55,38.01,38.49,12523771
24-Apr-17,38.59,38.63,37.99,38.01,20030013
21-Apr-17,37.97,38.25,37.93,38.16,17106889
20-Apr-17,37.77,38.12,37.65,38.00,17250139
19-Apr-17,37.82,37.99,37.49,37.53,15479790
18-Apr-17,37.18,37.79,37.05,37.59,23066988
17-Apr-17,37.30,37.40,37.08,37.20,14475655
13-Apr-17,37.37,37.39,36.99,37.14,18033853
12-Apr-17,37.45,37.51,37.12,37.29,17486028
11-Apr-17,37.67,37.67,37.18,37.23,20042446
10-Apr-17,37.95,38.07,37.56,37.67,12640006
7-Apr-17,38.26,38.27,37.92,38.02,14346179
6-Apr-17,37.28,38.36,37.27,38.13,23316466
5-Apr-17,37.83,37.98,37.24,37.34,18128588
4-Apr-17,37.56,37.93,37.56,37.79,13177025
3-Apr-17,37.47,37.89,37.38,37.56,16497712
31-Mar-17,37.42,37.69,37.26,37.59,15556514
30-Mar-17,37.13,37.55,37.13,37.51,10232291
29-Mar-17,36.90,37.31,36.85,37.22,10407821
28-Mar-17,36.95,37.28,36.69,37.09,14389630
27-Mar-17,37.19,37.31,36.90,37.11,13473664
24-Mar-17,37.24,37.57,37.08,37.38,17814764
23-Mar-17,37.01,37.48,36.85,37.22,11690930
22-Mar-17,37.18,37.26,36.81,37.04,11088919
21-Mar-17,37.49,37.61,37.00,37.07,18806735
20-Mar-17,37.53,37.75,37.41,37.48,11040960
17-Mar-17,37.87,37.96,37.37,37.46,32703073
16-Mar-17,37.70,37.99,37.58,37.68,13028309
15-Mar-17,37.52,37.83,37.41,37.75,11142551
14-Mar-17,37.21,37.61,37.16,37.41,9592094
13-Mar-17,37.32,37.49,37.14,37.30,10991800
10-Mar-17,37.60,37.61,37.13,37.32,12435027
9-Mar-17,37.18,37.45,37.12,37.38,11213343
8-Mar-17,37.16,37.34,37.09,37.11,12934265
7-Mar-17,37.42,37.64,37.27,37.42,14812434
6-Mar-17,37.07,37.50,36.90,37.44,13181617
3-Mar-17,37.46,37.50,37.18,37.22,11069227
2-Mar-17,37.52,37.55,37.19,37.45,11116071
1-Mar-17,37.72,37.83,37.52,37.59,16486480
28-Feb-17,37.62,37.62,37.18,37.42,16872258
27-Feb-17,37.76,37.80,37.50,37.53,9563628
24-Feb-17,37.72,37.90,37.47,37.89,11557826
23-Feb-17,38.12,38.16,37.56,37.65,13258356
22-Feb-17,37.87,38.22,37.82,37.94,13126051
21-Feb-17,38.03,38.03,37.41,37.89,13556274
17-Feb-17,37.97,38.02,37.51,37.66,19599952
16-Feb-17,38.22,38.22,37.84,38.00,16599476
15-Feb-17,37.88,38.33,37.84,38.30,13849182
14-Feb-17,37.80,38.12,37.72,38.04,15477494
13-Feb-17,37.60,37.86,37.55,37.86,20421818
10-Feb-17,37.50,37.64,37.40,37.58,12684104
9-Feb-17,37.50,37.62,37.28,37.52,14329328
8-Feb-17,37.43,37.46,37.29,37.34,14212182
7-Feb-17,37.33,37.60,37.26,37.43,15812560
6-Feb-17,37.60,37.60,37.22,37.27,16223032
3-Feb-17,37.65,37.72,37.47,37.63,13852078
2-Feb-17,37.72,37.82,37.50,37.54,15387864
1-Feb-17,37.64,38.10,37.62,37.80,18004222
31-Jan-17,37.52,37.74,37.24,37.71,26926210
30-Jan-17,37.92,37.96,37.25,37.67,26341780
27-Jan-17,37.74,38.00,37.30,37.98,23326780
26-Jan-17,36.56,38.44,36.50,37.75,52161460
25-Jan-17,36.80,36.94,36.55,36.72,26648446
24-Jan-17,36.60,36.90,36.50,36.80,17553090
23-Jan-17,36.78,36.87,36.44,36.63,16937116
20-Jan-17,36.54,36.80,36.37,36.78,25014552
19-Jan-17,36.09,36.48,36.06,36.30,14470912
18-Jan-17,36.34,36.38,36.10,36.14,18013804
17-Jan-17,36.10,36.37,35.91,36.28,21143488
13-Jan-17,36.00,36.47,35.88,36.38,23293556
12-Jan-17,35.80,35.83,35.42,35.71,14599618
11-Jan-17,35.86,35.87,35.35,35.86,23324904
10-Jan-17,35.31,35.88,35.22,35.46,24547224
9-Jan-17,35.07,35.48,35.02,35.42,18135982
6-Jan-17,35.10,35.27,34.91,35.14,13528092
5-Jan-17,34.80,35.13,34.70,35.08,16985988
4-Jan-17,34.76,35.13,34.59,34.94,22010818
3-Jan-17,34.84,34.94,34.12,34.52,23670334
30-Dec-16,34.98,35.02,34.46,34.52,24376728
29-Dec-16,35.20,35.33,34.98,35.04,11986958
28-Dec-16,35.43,35.50,35.18,35.22,9248474
27-Dec-16,35.40,35.66,35.25,35.44,6139284
23-Dec-16,35.50,35.54,35.23,35.32,8513520
22-Dec-16,35.30,35.51,35.11,35.51,18988694
21-Dec-16,34.74,35.55,34.74,35.42,11220040
20-Dec-16,35.16,35.60,34.99,35.50,20764464
19-Dec-16,35.08,35.22,34.88,35.08,14040122
16-Dec-16,35.10,35.20,34.78,34.93,29901146
15-Dec-16,35.09,35.32,34.80,34.94,20198176
14-Dec-16,34.97,35.34,34.82,35.01,20540530
13-Dec-16,34.54,35.12,34.46,34.99,18628320
12-Dec-16,34.52,34.64,34.26,34.50,14967054
9-Dec-16,34.74,34.74,34.46,34.72,17161754
8-Dec-16,34.58,34.74,34.47,34.62,17552540
7-Dec-16,34.38,34.72,34.04,34.66,21098798
6-Dec-16,34.31,34.49,34.11,34.35,21342506
5-Dec-16,34.51,34.66,34.19,34.34,19691288
2-Dec-16,34.98,35.17,34.32,34.39,26722730
1-Dec-16,34.70,35.02,34.62,34.93,19346858
30-Nov-16,35.04,35.14,34.62,34.76,23009000
29-Nov-16,34.25,35.11,34.14,35.07,30491230
28-Nov-16,34.40,34.50,34.01,34.16,19572456
25-Nov-16,34.46,34.62,34.40,34.58,6963552
23-Nov-16,34.56,34.96,34.46,34.48,18862980
22-Nov-16,34.13,34.58,34.10,34.51,26432816
21-Nov-16,34.16,34.36,33.98,34.10,17255248
18-Nov-16,34.12,34.30,33.96,34.17,20925136
17-Nov-16,33.70,34.36,33.40,34.24,23362160
16-Nov-16,33.39,33.76,33.30,33.74,22868890
15-Nov-16,33.54,33.85,33.28,33.49,31409348
14-Nov-16,33.09,34.06,33.09,33.63,37671616
11-Nov-16,32.37,33.28,32.30,33.23,31766780
10-Nov-16,31.76,32.96,31.75,32.55,54804802
9-Nov-16,31.00,32.05,31.00,31.72,40324138
8-Nov-16,30.82,31.46,30.72,31.26,22331646
7-Nov-16,30.76,30.88,30.52,30.76,19343000
4-Nov-16,30.23,30.62,30.02,30.33,21598622
3-Nov-16,30.78,30.98,30.42,30.48,19073986
2-Nov-16,30.68,30.82,30.55,30.74,23440670
1-Nov-16,31.26,31.26,30.57,30.72,21027980
31-Oct-16,31.10,31.24,30.85,30.91,19390752
28-Oct-16,30.74,31.36,30.74,30.94,28923272
27-Oct-16,31.32,31.38,30.30,30.74,44967712
26-Oct-16,32.46,32.46,31.19,31.28,42837574
25-Oct-16,32.50,32.82,32.20,32.26,30403058
24-Oct-16,32.80,32.80,32.31,32.48,19291786
21-Oct-16,31.98,32.16,31.78,32.03,22887354
20-Oct-16,32.39,32.45,32.09,32.18,21401148
19-Oct-16,32.56,32.76,32.36,32.46,17066422
18-Oct-16,32.74,32.75,32.40,32.44,15356362
17-Oct-16,32.57,32.79,32.49,32.51,10784236
14-Oct-16,32.60,32.87,32.50,32.60,15327680
13-Oct-16,32.44,32.65,32.11,32.56,14289662
12-Oct-16,32.54,32.78,32.46,32.62,12826002
11-Oct-16,32.86,32.86,32.44,32.48,14763696
10-Oct-16,32.74,33.00,32.72,32.89,14850010
7-Oct-16,32.86,32.86,32.48,32.68,14943236
6-Oct-16,32.80,32.90,32.54,32.70,14495324
5-Oct-16,33.07,33.12,32.78,32.90,16502810
4-Oct-16,33.04,33.19,32.82,32.92,14590072
3-Oct-16,32.94,33.18,32.85,33.10,13470024
30-Sep-16,33.27,33.28,33.10,33.17,21135692
29-Sep-16,33.34,33.34,32.89,33.12,18663912
28-Sep-16,33.08,33.36,33.00,33.34,15612254
27-Sep-16,32.88,33.20,32.80,33.08,17255954
26-Sep-16,33.62,33.62,32.85,32.90,15644926
23-Sep-16,33.34,33.75,33.34,33.58,18402430
22-Sep-16,33.75,33.76,33.43,33.65,17430964
21-Sep-16,33.09,33.67,33.04,33.58,16920356
20-Sep-16,33.16,33.38,33.01,33.12,15151722
19-Sep-16,32.99,33.16,32.79,32.92,13588692
16-Sep-16,32.99,33.07,32.64,32.96,27162722
15-Sep-16,32.46,33.22,32.41,33.12,20281602
14-Sep-16,32.49,32.72,32.38,32.58,15221148
13-Sep-16,32.64,32.77,32.37,32.38,25159340
12-Sep-16,32.48,32.95,32.42,32.88,17208186
9-Sep-16,32.62,32.94,32.41,32.56,28324920
8-Sep-16,33.11,33.22,32.93,33.08,16220100
7-Sep-16,33.06,33.22,33.00,33.18,14253432
6-Sep-16,33.02,33.20,32.81,33.17,14561952
2-Sep-16,33.19,33.28,32.98,33.08,12015742
1-Sep-16,32.80,33.04,32.64,32.94,17725108
31-Aug-16,32.67,32.84,32.49,32.63,13573852
30-Aug-16,32.84,32.84,32.56,32.78,12781158
29-Aug-16,32.84,33.00,32.78,32.83,11631818
26-Aug-16,32.87,33.10,32.58,32.76,13464584
25-Aug-16,32.88,32.94,32.72,32.78,12947970
24-Aug-16,32.74,32.94,32.69,32.84,17686188
23-Aug-16,33.35,33.36,32.67,32.83,20159972
22-Aug-16,33.18,33.24,32.91,33.22,11404084
19-Aug-16,33.58,33.62,33.09,33.14,25660510
18-Aug-16,33.94,33.94,33.54,33.70,11327314
17-Aug-16,33.66,33.94,33.52,33.88,10986998
16-Aug-16,33.62,33.83,33.58,33.66,9433452
15-Aug-16,33.76,33.98,33.73,33.76,9572788
12-Aug-16,33.66,33.90,33.66,33.76,8224804
11-Aug-16,33.62,33.90,33.58,33.84,11836522
10-Aug-16,33.45,33.68,33.32,33.61,15082226
9-Aug-16,33.60,33.71,33.42,33.45,16782938
8-Aug-16,33.55,33.60,33.38,33.54,14609540
5-Aug-16,33.76,33.91,33.57,33.70,13828622
4-Aug-16,33.34,33.64,33.34,33.59,13459406
3-Aug-16,33.50,33.64,33.21,33.42,14937152
2-Aug-16,33.82,33.82,33.44,33.45,14091434
1-Aug-16,33.70,33.88,33.67,33.77,13197172
29-Jul-16,33.94,33.97,33.54,33.62,19854844
28-Jul-16,33.86,34.18,33.84,33.93,17688290
27-Jul-16,34.10,34.16,33.26,33.96,23705284
26-Jul-16,33.64,33.74,33.33,33.59,16980962
25-Jul-16,33.78,33.85,33.64,33.74,12056176
22-Jul-16,33.75,33.88,33.52,33.73,15377778
21-Jul-16,33.48,33.68,33.31,33.51,14993678
20-Jul-16,33.51,33.60,33.11,33.56,11885126
19-Jul-16,33.34,33.61,33.24,33.54,15721154
18-Jul-16,33.38,33.59,33.34,33.43,10137686
15-Jul-16,33.78,33.82,33.34,33.44,14575534
14-Jul-16,33.63,33.68,33.44,33.51,14941806
