Date,Open,High,Low,Close,Volume
23-Feb-18,40.55,40.60,40.52,40.54,3090448
22-Feb-18,40.63,40.67,40.48,40.52,5060422
21-Feb-18,40.57,40.84,40.53,40.54,3200711
20-Feb-18,40.58,40.71,40.50,40.58,4245876
16-Feb-18,40.48,40.60,40.48,40.56,6293278
15-Feb-18,40.52,40.57,40.46,40.52,5506978
14-Feb-18,40.49,40.61,40.49,40.51,5445771
13-Feb-18,40.40,40.65,40.40,40.58,16234448
12-Feb-18,40.56,40.58,40.38,40.39,43756486
9-Feb-18,31.26,31.27,29.81,30.82,1734032
8-Feb-18,32.00,32.88,30.84,30.85,2478485
7-Feb-18,30.37,31.56,30.35,31.35,1626253
6-Feb-18,30.30,30.79,29.88,30.55,1500151
5-Feb-18,31.99,32.24,30.90,30.96,1101599
2-Feb-18,33.44,33.44,32.34,32.35,799693
1-Feb-18,33.17,33.79,33.04,33.69,1049322
31-Jan-18,32.98,33.39,32.94,33.28,1058062
30-Jan-18,33.12,33.23,32.71,32.86,503061
29-Jan-18,32.97,33.41,32.97,33.26,727598
26-Jan-18,32.86,33.07,32.60,33.07,984042
25-Jan-18,32.70,32.96,32.52,32.82,499837
24-Jan-18,32.55,32.86,32.51,32.60,652259
23-Jan-18,32.37,32.58,32.20,32.57,557709
22-Jan-18,32.14,32.22,31.91,32.20,625226
19-Jan-18,31.70,32.20,31.57,32.16,790279
18-Jan-18,31.98,32.02,31.56,31.66,907858
17-Jan-18,32.11,32.11,31.72,31.94,552014
16-Jan-18,32.29,32.33,31.81,31.94,985534
12-Jan-18,32.16,32.26,31.89,32.08,976519
11-Jan-18,31.64,32.14,31.54,32.11,1050301
10-Jan-18,30.78,31.63,30.69,31.62,936346
9-Jan-18,31.19,31.19,30.74,30.77,745441
8-Jan-18,31.01,31.31,30.90,31.08,1654674
5-Jan-18,30.93,31.19,30.80,31.07,796024
4-Jan-18,30.67,30.97,30.62,30.81,1088872
3-Jan-18,30.56,30.65,30.07,30.47,771594
2-Jan-18,30.01,30.47,29.93,30.44,644624
29-Dec-17,30.15,30.23,29.80,29.92,823511
28-Dec-17,30.49,30.51,29.94,30.05,660348
27-Dec-17,30.31,30.61,30.31,30.49,902391
26-Dec-17,30.16,30.41,30.04,30.28,810726
22-Dec-17,30.32,30.40,30.07,30.23,483308
21-Dec-17,30.51,30.58,30.11,30.28,793722
20-Dec-17,30.45,30.58,30.36,30.42,1106605
19-Dec-17,30.59,30.62,30.10,30.39,933264
18-Dec-17,30.26,30.69,30.07,30.66,1320318
15-Dec-17,29.95,30.31,29.85,30.13,2494208
14-Dec-17,30.00,30.03,29.60,29.70,945201
13-Dec-17,29.25,30.14,29.21,29.88,1689834
12-Dec-17,29.17,29.45,29.10,29.17,794761
11-Dec-17,29.27,29.49,29.18,29.37,839780
8-Dec-17,29.48,29.54,29.02,29.24,577842
7-Dec-17,28.87,29.44,28.87,29.34,1134250
6-Dec-17,28.91,29.18,28.82,28.94,992422
5-Dec-17,29.20,29.27,28.88,28.98,1106048
4-Dec-17,28.87,29.56,28.87,29.24,1591311
1-Dec-17,28.92,29.02,28.20,28.69,1219410
30-Nov-17,28.64,29.21,28.46,28.93,2207872
29-Nov-17,28.63,28.68,28.32,28.51,1462671
28-Nov-17,28.40,28.63,28.10,28.62,1755607
27-Nov-17,28.36,28.51,28.21,28.42,1346533
24-Nov-17,28.62,28.62,28.17,28.28,227724
22-Nov-17,28.57,28.91,28.51,28.54,975835
21-Nov-17,27.93,28.66,27.88,28.66,1586245
