Date,Open,High,Low,Close,Volume
23-Feb-18,92.35,92.92,92.18,92.81,1739342
22-Feb-18,91.58,92.50,91.47,91.61,2483680
21-Feb-18,92.08,92.81,91.32,91.38,1934326
20-Feb-18,90.92,92.32,90.60,91.78,2373537
16-Feb-18,91.12,92.25,90.45,91.21,2762304
15-Feb-18,90.20,91.11,89.46,90.99,1667064
14-Feb-18,86.45,89.62,86.16,89.44,1615703
13-Feb-18,85.58,87.38,85.10,86.87,1869412
12-Feb-18,86.30,87.72,86.29,86.79,1644305
9-Feb-18,85.07,86.84,83.70,85.75,2010487
8-Feb-18,87.59,87.99,84.35,84.53,1965879
7-Feb-18,88.55,89.33,87.42,87.60,2263967
6-Feb-18,88.01,89.68,87.05,89.12,2366946
5-Feb-18,91.91,93.01,89.05,89.07,2964178
2-Feb-18,92.56,93.98,90.89,92.19,1959731
1-Feb-18,92.02,94.50,91.28,93.43,2379070
31-Jan-18,92.81,93.50,92.59,92.76,2232217
30-Jan-18,93.34,94.05,92.60,92.69,1139467
29-Jan-18,94.47,95.00,93.52,93.68,1239514
26-Jan-18,94.65,94.94,93.75,94.70,1671929
25-Jan-18,94.32,94.78,93.81,94.00,929773
24-Jan-18,94.50,94.70,93.32,93.78,1037939
23-Jan-18,93.59,94.44,93.26,94.01,1149023
22-Jan-18,92.73,94.03,92.20,93.84,1233778
19-Jan-18,91.69,92.87,91.41,92.72,1207682
18-Jan-18,91.24,92.62,91.10,91.38,1595478
17-Jan-18,90.78,91.36,90.04,91.19,1069531
16-Jan-18,90.31,91.23,89.82,89.96,1977247
12-Jan-18,90.13,90.20,89.55,90.04,1066163
11-Jan-18,89.85,90.37,88.86,89.81,2523609
10-Jan-18,90.92,91.77,90.67,90.82,1003299
9-Jan-18,91.21,91.83,90.84,91.19,821873
8-Jan-18,89.75,91.05,89.44,90.97,1463780
5-Jan-18,91.20,91.63,90.97,91.48,899487
4-Jan-18,90.00,90.99,89.70,90.70,987475
3-Jan-18,88.90,89.85,88.59,89.65,1102822
2-Jan-18,88.58,89.42,88.16,88.69,1330677
29-Dec-17,88.32,88.80,87.90,88.00,585271
28-Dec-17,88.77,88.98,87.93,88.63,683273
27-Dec-17,88.11,88.70,87.80,88.44,965277
26-Dec-17,87.77,88.46,87.67,87.93,1716054
22-Dec-17,88.07,88.35,87.63,87.88,754664
21-Dec-17,88.38,88.89,87.53,88.14,1212188
20-Dec-17,87.98,88.33,86.94,88.14,1153096
19-Dec-17,87.85,88.15,87.33,87.86,1036231
18-Dec-17,88.18,88.75,87.52,87.77,1761481
15-Dec-17,87.20,88.21,86.51,87.53,2373046
14-Dec-17,87.61,87.92,86.98,87.05,2177065
13-Dec-17,87.71,87.99,86.78,87.15,1098610
12-Dec-17,87.00,87.72,86.36,87.22,1145708
11-Dec-17,87.59,87.79,86.74,87.02,2002835
8-Dec-17,87.80,87.93,87.07,87.59,1157483
7-Dec-17,87.26,87.75,86.93,87.17,1530378
6-Dec-17,87.21,87.96,86.31,87.39,2261381
5-Dec-17,86.58,87.96,86.04,87.20,2218612
4-Dec-17,88.50,88.92,86.65,86.77,1735538
1-Dec-17,87.59,88.96,87.00,88.35,2863607
30-Nov-17,87.19,88.06,86.98,87.63,2165302
29-Nov-17,87.63,87.70,86.52,87.00,1670613
28-Nov-17,86.33,88.08,86.02,87.69,1789455
27-Nov-17,86.40,86.60,85.95,86.15,988482
24-Nov-17,86.70,86.78,85.66,86.25,561427
22-Nov-17,86.76,87.16,86.41,86.68,1421352
21-Nov-17,86.56,87.03,86.01,86.56,1405345
20-Nov-17,86.44,87.17,86.07,86.13,1411970
17-Nov-17,85.83,87.49,85.44,86.51,2119237
16-Nov-17,84.70,86.00,84.36,85.64,1768084
15-Nov-17,85.02,85.44,83.76,84.12,2207203
14-Nov-17,84.19,86.39,83.91,85.22,2494434
13-Nov-17,83.88,84.67,83.32,84.26,762843
10-Nov-17,83.51,84.50,83.11,84.22,1250208
9-Nov-17,85.28,85.45,83.26,84.03,2122982
8-Nov-17,84.32,86.05,82.46,85.91,2975725
7-Nov-17,84.54,84.95,83.79,84.48,1335213
6-Nov-17,84.86,85.80,84.19,84.34,1803237
3-Nov-17,84.08,86.11,84.05,84.90,2874785
2-Nov-17,81.92,82.56,81.11,82.36,1393653
1-Nov-17,83.10,83.31,81.96,82.23,1391844
31-Oct-17,82.53,83.18,81.87,82.61,2024600
30-Oct-17,82.24,82.73,81.79,82.39,1696492
27-Oct-17,82.38,82.81,80.65,82.70,1966798
26-Oct-17,82.40,83.36,80.20,81.20,4645756
25-Oct-17,82.51,83.75,81.88,82.43,2303646
24-Oct-17,83.16,83.37,82.78,83.19,1013259
23-Oct-17,83.85,83.85,82.96,83.15,903833
20-Oct-17,83.17,83.98,82.84,83.49,1537219
19-Oct-17,81.98,82.76,81.66,82.74,1576913
18-Oct-17,82.15,82.43,81.40,82.27,1045821
17-Oct-17,81.76,82.12,81.27,81.99,1055646
16-Oct-17,81.58,81.94,80.96,81.61,603468
13-Oct-17,81.77,81.85,80.97,81.47,1120350
12-Oct-17,80.29,81.96,79.99,81.30,1256477
11-Oct-17,80.95,81.20,80.00,80.57,2046902
10-Oct-17,80.50,81.21,80.25,81.20,1560855
9-Oct-17,79.44,80.67,79.13,80.62,1069099
6-Oct-17,79.39,79.54,78.68,79.47,928215
5-Oct-17,78.75,79.90,78.39,79.68,1896461
4-Oct-17,78.51,78.82,77.70,78.30,1211934
3-Oct-17,79.65,79.74,78.40,78.51,1811798
2-Oct-17,77.64,80.88,77.50,79.50,3646451
29-Sep-17,76.62,77.24,76.47,76.82,902985
28-Sep-17,76.17,76.98,75.87,76.70,897806
27-Sep-17,75.82,77.31,75.82,76.47,1192983
26-Sep-17,76.26,76.36,75.48,75.55,1153207
25-Sep-17,76.06,76.34,75.19,75.73,1111474
22-Sep-17,76.24,76.72,75.69,76.23,2411874
21-Sep-17,76.52,76.76,75.78,76.28,807048
20-Sep-17,76.23,76.72,75.58,76.47,1582882
19-Sep-17,76.89,76.89,76.20,76.48,794971
18-Sep-17,76.23,76.62,75.82,76.47,1201871
15-Sep-17,76.14,76.54,75.01,76.22,2891393
14-Sep-17,76.78,76.78,76.06,76.63,1250501
13-Sep-17,75.97,77.16,75.97,77.16,1096514
12-Sep-17,76.39,76.52,75.15,76.50,1512507
11-Sep-17,75.90,76.73,75.73,76.28,1618120
8-Sep-17,75.28,75.66,75.09,75.14,1344545
7-Sep-17,76.64,76.64,75.07,75.36,1621819
6-Sep-17,77.30,77.57,76.10,76.35,1476174
5-Sep-17,78.07,78.50,75.91,76.99,1843278
1-Sep-17,78.50,78.68,77.83,78.52,1154643
31-Aug-17,77.22,78.34,77.05,78.21,1369844
30-Aug-17,76.42,77.55,76.26,76.99,1375841
29-Aug-17,74.99,76.59,74.76,76.42,1428231
28-Aug-17,75.54,75.88,75.31,75.60,1161423
25-Aug-17,75.87,76.36,75.33,75.37,988235
24-Aug-17,74.96,75.46,74.49,75.35,980008
23-Aug-17,75.73,75.92,74.82,75.29,1424388
22-Aug-17,75.38,76.04,75.20,76.01,768260
21-Aug-17,74.58,75.23,74.26,75.09,975430
18-Aug-17,74.40,75.24,74.13,74.71,900698
17-Aug-17,75.85,76.28,74.38,74.52,1168607
16-Aug-17,74.95,76.36,74.95,76.30,1402601
15-Aug-17,75.80,75.80,74.68,74.95,1120534
14-Aug-17,75.19,76.08,73.33,75.84,1982803
11-Aug-17,74.83,75.05,74.09,74.61,1308861
10-Aug-17,75.63,76.14,74.53,74.67,1653472
9-Aug-17,76.24,76.65,76.06,76.22,1859181
