Date,Open,High,Low,Close,Volume
23-Feb-18,50.12,50.65,49.28,50.20,1391407
22-Feb-18,50.06,51.09,50.01,50.15,1138899
21-Feb-18,50.33,50.95,47.07,50.04,2550193
20-Feb-18,50.37,51.01,48.95,48.97,1612821
16-Feb-18,51.58,52.60,50.57,50.87,1014358
15-Feb-18,51.45,52.35,50.81,51.96,777911
14-Feb-18,50.10,51.43,49.53,51.28,879256
13-Feb-18,51.10,51.34,50.27,50.73,366597
12-Feb-18,52.68,53.00,51.33,51.55,551979
9-Feb-18,52.21,52.68,50.26,52.17,1097081
8-Feb-18,53.64,53.99,51.05,51.93,795055
7-Feb-18,53.47,54.77,52.97,54.07,636920
6-Feb-18,51.13,53.68,50.59,53.49,1135090
5-Feb-18,54.06,54.90,51.50,51.66,785343
2-Feb-18,55.80,55.91,54.36,54.47,896700
1-Feb-18,55.02,56.55,55.01,55.80,1066576
31-Jan-18,57.12,58.67,54.60,55.23,1924301
30-Jan-18,56.85,58.15,56.53,56.59,1117740
29-Jan-18,56.28,57.74,55.93,57.65,1326857
26-Jan-18,56.02,56.34,55.56,56.03,1006949
25-Jan-18,56.38,56.72,54.55,55.48,921503
24-Jan-18,56.59,57.07,55.87,56.21,1608322
23-Jan-18,55.68,56.35,55.44,56.03,813819
22-Jan-18,56.63,56.70,55.06,55.78,734752
19-Jan-18,57.68,57.68,56.40,56.55,1441252
18-Jan-18,59.49,59.77,57.03,57.26,988225
17-Jan-18,58.19,60.00,56.65,59.23,844900
16-Jan-18,59.74,60.39,57.43,57.72,1669949
12-Jan-18,58.06,59.56,58.01,59.46,2068435
11-Jan-18,56.00,57.90,55.87,57.85,1098805
10-Jan-18,57.68,58.91,55.09,55.86,1477749
9-Jan-18,56.21,59.60,56.21,57.81,2156101
8-Jan-18,56.73,56.73,55.55,55.85,758584
5-Jan-18,56.50,57.84,54.71,56.48,2419465
4-Jan-18,54.29,56.92,54.10,56.41,1217775
3-Jan-18,55.10,55.80,53.73,53.97,1471931
2-Jan-18,53.00,55.20,52.82,55.01,1134345
29-Dec-17,53.07,53.31,52.47,52.47,421082
28-Dec-17,53.21,53.24,52.63,52.92,527755
27-Dec-17,52.00,53.51,51.59,53.00,881043
26-Dec-17,52.94,53.21,52.08,52.11,652902
22-Dec-17,53.23,53.59,52.50,52.95,1142169
21-Dec-17,55.25,55.25,53.14,53.49,1394560
20-Dec-17,53.95,54.81,53.63,54.61,1166746
19-Dec-17,55.13,56.01,53.21,53.92,2370711
18-Dec-17,51.75,53.51,51.58,53.11,1903032
15-Dec-17,49.11,51.43,49.00,50.95,4276140
14-Dec-17,49.23,49.84,47.10,49.00,4819276
13-Dec-17,50.60,51.42,49.40,49.55,3814994
12-Dec-17,49.99,51.53,49.59,50.68,4548542
11-Dec-17,50.70,51.09,50.00,50.26,4630480
8-Dec-17,51.00,53.33,50.73,51.00,7325215
7-Dec-17,54.11,54.41,52.05,52.91,4023031
6-Dec-17,55.24,56.61,53.67,54.13,6315823
5-Dec-17,55.28,57.25,50.01,56.50,24670258
4-Dec-17,50.52,51.99,50.00,50.82,109621
1-Dec-17,50.00,54.61,50.00,51.99,101899
30-Nov-17,50.46,50.46,49.50,50.00,34157
29-Nov-17,50.10,50.50,49.30,50.20,31686
28-Nov-17,53.50,53.50,49.02,50.24,48900
27-Nov-17,52.85,56.75,49.00,52.00,81149
24-Nov-17,52.00,53.40,51.07,51.98,60700
22-Nov-17,49.51,52.00,49.00,51.90,331947
21-Nov-17,38.00,52.00,38.00,50.50,289750

