Date,Open,High,Low,Close,Volume
23-Feb-18,30.37,30.73,30.17,30.70,4593612
22-Feb-18,30.74,31.16,30.13,30.54,5960913
21-Feb-18,29.19,29.70,29.00,29.09,4648450
20-Feb-18,29.60,29.91,29.21,29.38,4597039
16-Feb-18,29.53,30.10,29.40,29.61,2545167
15-Feb-18,30.27,30.29,29.14,29.67,4066590
14-Feb-18,28.67,30.38,28.62,30.16,3606304
13-Feb-18,29.16,29.44,28.80,29.22,4063761
12-Feb-18,29.40,29.96,29.18,29.69,2766566
9-Feb-18,29.54,29.61,28.09,29.14,6515070
8-Feb-18,30.67,30.85,29.10,29.10,4734287
7-Feb-18,31.56,32.14,30.41,30.48,6863966
6-Feb-18,30.87,32.22,30.69,32.14,6370254
5-Feb-18,32.62,33.16,31.81,31.83,5812074
2-Feb-18,32.94,33.12,32.57,32.68,4313191
1-Feb-18,32.44,33.39,32.43,33.35,3552897
31-Jan-18,32.58,32.91,32.15,32.46,3235045
30-Jan-18,32.37,32.61,32.07,32.46,3536446
29-Jan-18,33.47,33.50,32.92,33.08,3625123
26-Jan-18,34.15,34.43,33.96,34.10,2286448
25-Jan-18,34.80,34.88,33.91,33.99,2639015
24-Jan-18,34.80,34.97,34.24,34.65,6333425
23-Jan-18,34.34,34.62,34.06,34.45,2633939
22-Jan-18,33.62,34.60,33.55,34.59,2412428
19-Jan-18,32.92,33.58,32.79,33.50,2709412
18-Jan-18,33.40,33.55,33.09,33.15,3168233
17-Jan-18,33.37,33.93,33.05,33.67,3341033
16-Jan-18,34.03,34.26,33.32,33.39,3566774
12-Jan-18,34.40,35.00,34.27,34.80,5362314
11-Jan-18,33.16,34.20,33.12,34.01,4036403
10-Jan-18,32.61,33.14,32.46,32.83,3009574
9-Jan-18,32.48,32.74,32.16,32.38,2430613
8-Jan-18,32.57,32.81,32.15,32.79,2424932
5-Jan-18,32.32,32.51,32.00,32.49,2013845
4-Jan-18,32.15,32.52,31.98,32.39,2559894
3-Jan-18,32.00,32.33,31.65,32.09,3279342
2-Jan-18,31.23,31.92,31.12,31.86,3236845
29-Dec-17,31.36,31.50,30.86,31.31,2096759
28-Dec-17,31.41,31.53,31.18,31.40,1412497
27-Dec-17,31.40,31.60,31.33,31.48,2320479
26-Dec-17,31.32,31.54,31.08,31.38,1380944
22-Dec-17,31.10,31.24,30.61,31.15,2409818
21-Dec-17,30.50,31.04,30.10,30.80,3230582
20-Dec-17,28.99,29.94,28.84,29.86,3325314
19-Dec-17,28.65,28.74,28.36,28.69,2496943
18-Dec-17,28.12,28.67,28.05,28.55,2971782
15-Dec-17,27.71,27.74,27.41,27.43,5337450
14-Dec-17,28.20,28.58,27.59,27.61,3451903
13-Dec-17,28.59,28.84,28.41,28.61,2912774
12-Dec-17,28.77,28.94,28.60,28.77,2861268
11-Dec-17,27.58,28.60,27.54,28.59,4231630
8-Dec-17,27.27,27.50,27.09,27.35,2978260
7-Dec-17,27.03,27.33,26.95,27.18,3022219
6-Dec-17,27.92,27.97,27.36,27.56,2825131
5-Dec-17,28.99,29.04,28.20,28.24,3158526
4-Dec-17,29.21,29.62,28.85,28.91,3119392
1-Dec-17,28.92,29.42,28.73,29.25,5072138
30-Nov-17,28.09,28.69,28.06,28.64,7281686
29-Nov-17,27.47,27.93,27.39,27.57,3755323
28-Nov-17,26.67,27.53,26.53,27.50,4617472
27-Nov-17,26.71,26.76,26.46,26.69,3795954
24-Nov-17,27.18,27.19,26.81,26.92,1771702
22-Nov-17,27.10,27.25,26.96,27.06,2300266
21-Nov-17,26.79,27.23,26.56,26.60,3476475
20-Nov-17,26.77,26.78,26.38,26.50,2177263
17-Nov-17,26.59,26.82,26.51,26.62,2344334
16-Nov-17,26.39,26.68,26.30,26.54,2732498
15-Nov-17,26.58,26.69,26.19,26.50,3393553
14-Nov-17,28.05,28.11,27.10,27.16,3427969
13-Nov-17,28.12,28.52,28.08,28.40,3057284
10-Nov-17,29.47,29.47,28.72,28.92,2322549
9-Nov-17,28.77,29.48,28.69,29.36,3352858
8-Nov-17,29.35,29.44,29.04,29.14,2981339
7-Nov-17,30.10,30.16,29.22,29.29,5402149
6-Nov-17,28.71,29.37,28.67,29.35,3319982
3-Nov-17,28.30,28.80,28.23,28.58,3094284
2-Nov-17,28.23,28.56,28.00,28.25,5671087
1-Nov-17,27.81,28.39,27.62,27.76,7020627
31-Oct-17,26.81,27.44,26.81,27.39,3633464
30-Oct-17,26.62,27.08,26.57,27.04,3731917
27-Oct-17,26.78,27.08,26.46,26.57,5136425
26-Oct-17,25.50,26.69,25.16,26.58,8261203
25-Oct-17,25.13,25.29,24.83,25.16,4135385
24-Oct-17,25.27,25.47,25.10,25.36,3973151
23-Oct-17,24.90,25.14,24.90,24.99,6449064
20-Oct-17,25.03,25.11,24.53,24.96,6027811
19-Oct-17,25.36,25.55,25.03,25.10,2591034
