Date,Open,High,Low,Close,Volume
23-Feb-18,77.15,77.23,76.43,77.14,1298098
22-Feb-18,76.34,77.18,76.11,76.68,1058139
21-Feb-18,76.11,77.22,75.99,76.01,1269704
20-Feb-18,75.34,76.21,75.26,75.85,1647248
16-Feb-18,75.08,75.98,74.81,75.65,2116630
15-Feb-18,74.86,75.09,74.10,75.08,1765099
14-Feb-18,73.75,74.42,73.48,74.19,1788746
13-Feb-18,74.09,74.75,73.80,74.14,3149174
12-Feb-18,72.80,74.98,72.80,74.30,3466852
9-Feb-18,75.81,75.81,69.51,72.45,4139709
8-Feb-18,71.71,72.30,69.03,69.14,2367748
7-Feb-18,71.92,73.05,71.68,71.69,2533280
6-Feb-18,70.33,72.59,69.45,72.11,2852912
5-Feb-18,75.04,75.42,71.65,71.66,1982141
2-Feb-18,75.34,76.29,75.00,75.35,1406302
1-Feb-18,75.52,76.57,75.20,75.55,1440479
31-Jan-18,76.33,76.53,75.62,76.02,1287240
30-Jan-18,75.90,76.43,75.63,76.03,1333480
29-Jan-18,76.20,76.67,76.00,76.38,1625640
26-Jan-18,75.21,76.59,74.57,76.57,2205243
25-Jan-18,75.79,75.90,74.56,74.81,1440561
24-Jan-18,75.48,76.68,75.06,75.36,1576762
23-Jan-18,74.44,75.25,73.78,75.06,1590969
22-Jan-18,74.55,75.07,73.85,74.20,1364831
19-Jan-18,74.63,74.94,74.00,74.56,1811811
18-Jan-18,74.86,75.24,74.25,74.46,864250
17-Jan-18,74.47,75.24,74.02,74.74,1525285
16-Jan-18,74.82,75.63,73.72,73.99,1339444
12-Jan-18,73.94,74.78,73.76,74.47,1283230
11-Jan-18,73.13,73.81,73.01,73.71,1179462
10-Jan-18,73.41,73.83,72.53,73.02,889270
9-Jan-18,73.22,74.47,73.20,73.78,1139105
8-Jan-18,73.16,73.50,73.06,73.25,1010425
5-Jan-18,74.42,74.61,72.87,73.40,2134301
4-Jan-18,72.72,74.35,72.43,74.25,1528239
3-Jan-18,72.24,72.57,71.27,72.42,1566894
2-Jan-18,72.99,73.18,71.84,72.38,1088470
29-Dec-17,72.77,73.00,72.35,72.35,843005
28-Dec-17,72.50,72.66,72.04,72.50,798130
27-Dec-17,72.53,72.89,72.23,72.37,780613
26-Dec-17,72.69,72.76,72.24,72.62,417389
22-Dec-17,72.84,72.84,72.15,72.47,981691
21-Dec-17,73.27,73.31,72.62,72.80,830751
20-Dec-17,73.23,73.44,72.90,72.99,767701
19-Dec-17,72.93,73.10,72.01,72.73,944184
18-Dec-17,72.38,73.12,72.10,72.73,1083748
15-Dec-17,71.83,72.32,71.71,72.06,2613504
14-Dec-17,72.63,72.79,71.37,71.40,1094448
13-Dec-17,72.47,73.03,72.18,72.41,943446
12-Dec-17,72.52,72.95,72.26,72.52,767127
11-Dec-17,73.83,73.99,72.86,73.01,960917
8-Dec-17,73.96,74.24,73.28,73.69,1000586
7-Dec-17,73.55,74.23,73.20,73.60,899067
6-Dec-17,72.99,73.66,72.68,73.29,1119592
5-Dec-17,74.43,74.54,72.88,72.95,1140282
4-Dec-17,75.07,75.54,74.23,74.23,1075081
1-Dec-17,75.55,75.69,73.55,74.58,1322311
30-Nov-17,73.49,74.75,73.43,74.65,1571015
29-Nov-17,73.38,73.48,72.67,73.42,920035
28-Nov-17,73.06,73.83,72.59,73.29,1304595
27-Nov-17,72.33,73.04,72.22,72.76,958946
24-Nov-17,72.07,72.40,72.06,72.13,362999
22-Nov-17,72.38,72.53,71.76,72.00,1932814
21-Nov-17,72.89,73.16,72.41,72.45,1263633
20-Nov-17,72.38,73.16,72.25,72.81,873289
17-Nov-17,72.09,72.71,71.75,72.25,2945395
16-Nov-17,72.19,72.93,72.03,72.44,982711
15-Nov-17,72.59,72.71,71.67,71.85,1726110
14-Nov-17,72.23,72.70,72.14,72.67,1224035
13-Nov-17,72.26,72.70,72.05,72.60,839493
10-Nov-17,72.28,72.80,71.90,72.65,1825247
9-Nov-17,72.45,72.85,72.10,72.63,1015714
8-Nov-17,73.21,73.25,72.68,72.77,1130286
7-Nov-17,72.80,73.47,72.67,73.47,1072504
6-Nov-17,73.50,73.59,72.76,72.86,836589
3-Nov-17,73.30,73.98,73.30,73.64,1009841
2-Nov-17,72.90,73.50,72.64,73.31,987159
1-Nov-17,72.73,73.07,72.25,72.86,1221998
31-Oct-17,72.61,72.77,72.22,72.26,1234892
30-Oct-17,73.75,73.89,72.38,72.46,1583475
27-Oct-17,72.20,74.38,70.01,74.10,2011623
26-Oct-17,73.10,73.76,72.57,73.47,1765984
25-Oct-17,72.95,73.37,72.05,72.47,1730698
24-Oct-17,72.31,73.34,72.31,73.31,1287759
23-Oct-17,72.01,72.31,71.44,72.09,1030868
20-Oct-17,71.50,72.07,71.26,72.01,1564769
19-Oct-17,71.38,71.58,71.00,71.10,1111608
18-Oct-17,71.50,71.95,71.38,71.62,855768
17-Oct-17,72.08,72.28,71.48,71.49,1318243
16-Oct-17,72.44,72.70,71.90,72.02,1097152
13-Oct-17,73.18,73.21,72.19,72.35,721222
12-Oct-17,72.49,73.01,72.27,72.89,978370
11-Oct-17,72.06,72.26,71.95,72.00,39360
10-Oct-17,72.25,72.31,71.40,71.92,976725
9-Oct-17,71.76,72.10,71.48,71.90,649126
6-Oct-17,71.46,71.88,71.29,71.55,1050800
5-Oct-17,72.01,72.01,71.14,71.57,1268881
4-Oct-17,71.43,71.94,71.34,71.91,1057635
3-Oct-17,71.74,71.91,71.28,71.48,905985
2-Oct-17,71.03,71.55,70.90,71.55,893795
29-Sep-17,69.89,71.07,69.75,70.79,1060876
28-Sep-17,69.97,70.28,69.70,69.92,1324456
27-Sep-17,69.85,70.27,69.68,70.21,893665
26-Sep-17,70.04,70.36,69.80,69.85,1183695
25-Sep-17,70.08,70.25,69.59,70.03,982653
22-Sep-17,69.86,70.12,69.59,70.03,2310260
21-Sep-17,70.20,70.41,69.81,69.93,1067150
20-Sep-17,70.22,70.66,69.94,70.17,2028316
19-Sep-17,70.31,70.53,70.01,70.08,961890
18-Sep-17,69.49,70.48,69.32,70.31,1321638
15-Sep-17,70.07,70.21,69.05,69.36,2711691
14-Sep-17,68.35,69.20,67.95,69.19,1816078
13-Sep-17,67.73,68.71,67.53,68.69,1895246
12-Sep-17,67.61,68.08,67.61,67.87,845973
11-Sep-17,66.98,67.61,66.62,67.52,1462179
8-Sep-17,65.53,67.09,65.48,66.48,1115138
7-Sep-17,64.94,65.64,64.62,65.57,816615
6-Sep-17,65.50,65.99,64.64,64.73,1907766
5-Sep-17,64.99,65.74,64.85,65.09,1043342
1-Sep-17,65.25,65.40,64.92,65.10,814152
31-Aug-17,64.85,65.14,64.69,64.97,1293294
30-Aug-17,64.42,64.94,64.35,64.80,1586256
29-Aug-17,64.26,64.57,63.97,64.46,1812778
28-Aug-17,64.95,65.06,64.24,64.49,697203
25-Aug-17,65.05,65.25,64.10,64.69,1407834
24-Aug-17,65.12,65.34,64.63,64.88,1167335
23-Aug-17,65.64,65.70,64.98,65.03,641212
22-Aug-17,65.59,66.00,65.59,65.86,777852
21-Aug-17,65.00,65.52,64.64,65.42,710550
18-Aug-17,64.95,65.39,64.68,65.03,963478
17-Aug-17,65.87,66.05,65.11,65.16,545727
16-Aug-17,66.31,66.63,66.00,66.15,645224
15-Aug-17,66.20,66.38,65.92,66.12,595496
14-Aug-17,66.10,66.38,65.98,66.25,494553
11-Aug-17,65.62,66.08,65.40,65.60,705331
10-Aug-17,66.55,66.72,65.51,65.53,1037650
9-Aug-17,66.86,66.98,66.54,66.82,949895
8-Aug-17,66.97,67.20,66.85,66.92,1172732
7-Aug-17,67.00,67.48,66.72,67.22,1466486
4-Aug-17,66.68,67.20,66.52,67.17,1117712
3-Aug-17,66.35,66.54,66.06,66.53,1103108
2-Aug-17,65.31,66.54,65.30,66.28,1813388
1-Aug-17,64.79,65.73,64.26,65.20,1850271
31-Jul-17,-,64.91,-,64.74,1985961
28-Jul-17,63.50,64.82,62.64,64.47,2210705
27-Jul-17,62.16,62.79,62.05,62.58,1840839
26-Jul-17,63.11,63.22,62.14,62.18,1740920
25-Jul-17,63.57,63.73,62.97,63.07,1716708
24-Jul-17,63.33,63.40,63.05,63.29,1203467
21-Jul-17,63.24,63.49,63.08,63.25,1284157
20-Jul-17,64.01,64.15,62.83,63.50,1558121
19-Jul-17,63.94,63.99,63.58,63.97,1400601
18-Jul-17,64.03,64.22,63.63,63.75,1029898
17-Jul-17,64.57,64.57,63.78,64.14,1388224
14-Jul-17,64.42,64.79,64.32,64.56,1113386
13-Jul-17,64.75,64.86,64.31,64.39,869379
12-Jul-17,64.24,64.90,64.20,64.70,1118493
11-Jul-17,64.68,64.68,63.38,63.97,1105250
10-Jul-17,63.82,64.94,63.76,64.60,1975090
7-Jul-17,63.61,64.00,63.46,63.85,1114145
6-Jul-17,63.40,63.78,63.22,63.33,1475693
5-Jul-17,63.63,63.98,63.18,63.61,892197
3-Jul-17,63.65,63.73,63.19,63.33,652599
30-Jun-17,62.92,63.68,62.90,63.35,1176910
29-Jun-17,64.37,64.37,62.75,62.86,1291184
28-Jun-17,63.79,64.55,63.60,64.41,830173
27-Jun-17,63.79,64.09,63.37,63.37,697819
26-Jun-17,64.30,64.72,63.94,64.11,1009496
23-Jun-17,63.95,64.16,63.67,64.10,7313010
22-Jun-17,64.34,64.53,63.91,64.10,1044047
21-Jun-17,64.52,64.70,64.28,64.37,1462547
20-Jun-17,64.50,65.21,64.30,64.47,1760847
19-Jun-17,64.31,64.83,64.19,64.79,1373614
16-Jun-17,63.17,64.06,62.87,64.05,1676673
15-Jun-17,62.66,63.26,62.38,63.04,1171966
14-Jun-17,63.28,63.48,62.93,62.95,1378804
13-Jun-17,62.68,63.29,62.43,63.27,1013791
12-Jun-17,63.04,63.34,62.20,62.46,1138195
9-Jun-17,64.00,64.00,62.56,63.09,1027130
8-Jun-17,63.41,63.75,62.81,63.70,987039
7-Jun-17,63.25,63.76,63.07,63.36,786005
6-Jun-17,63.24,63.45,63.04,63.20,1376831
5-Jun-17,63.24,63.56,63.22,63.32,839559
2-Jun-17,62.90,63.83,62.84,63.41,1188250
1-Jun-17,62.73,63.43,62.48,62.99,1105514
31-May-17,63.42,63.56,61.80,62.45,3926649
30-May-17,63.24,63.79,63.03,63.35,1775771
26-May-17,63.68,63.90,63.38,63.51,1176534
25-May-17,63.12,63.87,62.75,63.64,1039069
24-May-17,62.74,63.22,62.63,63.08,1357925
23-May-17,62.39,62.70,62.13,62.61,769499
22-May-17,62.09,62.50,61.90,62.40,771725
19-May-17,61.48,62.02,61.00,61.84,1868375
18-May-17,60.75,61.59,60.40,61.16,1377771
17-May-17,61.90,62.26,61.13,61.20,1235924
16-May-17,62.45,62.45,62.05,62.33,890119
15-May-17,62.30,62.64,62.19,62.22,981528
12-May-17,62.44,62.53,62.00,62.18,1005133
11-May-17,62.18,62.70,62.08,62.62,591319
10-May-17,62.53,62.81,62.24,62.57,1048468
9-May-17,62.94,63.43,62.46,62.70,826693
8-May-17,63.09,63.36,62.74,62.89,1791548
5-May-17,62.86,63.16,62.48,63.14,595382
4-May-17,62.63,63.11,62.56,62.82,819909
3-May-17,61.95,62.72,61.78,62.67,976823
2-May-17,61.83,62.32,61.10,62.18,1505181
1-May-17,63.61,63.65,62.11,62.34,1759044
28-Apr-17,62.96,64.27,62.50,63.26,2403012
