Date,Open,High,Low,Close,Volume
23-Feb-18,18.01,18.19,17.56,18.14,45018271
22-Feb-18,16.43,16.67,16.23,16.41,16299417
21-Feb-18,16.60,16.68,16.22,16.25,10906496
20-Feb-18,16.47,16.68,16.41,16.52,9037512
16-Feb-18,16.30,16.56,16.21,16.39,9442952
15-Feb-18,16.28,16.48,16.04,16.35,8201626
14-Feb-18,15.41,16.22,15.35,16.15,14008328
13-Feb-18,15.63,15.63,15.31,15.47,13734833
12-Feb-18,15.42,15.85,15.36,15.75,7683571
9-Feb-18,15.20,15.42,14.66,15.30,16715992
8-Feb-18,15.53,15.68,15.04,15.04,12061041
7-Feb-18,15.67,15.78,15.33,15.56,13112576
6-Feb-18,15.27,15.82,14.96,15.73,16226797
5-Feb-18,16.53,16.65,15.65,15.66,15838108
2-Feb-18,16.66,16.93,16.52,16.65,13333953
1-Feb-18,16.40,16.88,16.32,16.79,13494780
31-Jan-18,16.59,16.69,16.31,16.40,12419364
30-Jan-18,16.85,16.91,16.40,16.54,11202261
29-Jan-18,16.66,17.06,16.62,16.97,10537107
26-Jan-18,16.55,16.84,16.55,16.71,9762409
25-Jan-18,16.71,16.84,16.45,16.48,7765839
24-Jan-18,16.71,16.89,16.60,16.68,11806028
23-Jan-18,16.28,16.72,16.20,16.67,14446977
22-Jan-18,16.05,16.08,15.90,16.05,9415501
19-Jan-18,15.97,16.09,15.91,16.08,9139535
18-Jan-18,16.03,16.10,15.94,15.97,9774631
17-Jan-18,15.86,16.10,15.82,16.07,9450341
16-Jan-18,15.82,15.92,15.72,15.81,9664432
12-Jan-18,15.45,15.87,15.42,15.81,15520654
11-Jan-18,15.20,15.49,15.17,15.45,8239942
10-Jan-18,14.76,15.31,14.76,15.19,10171279
9-Jan-18,14.85,14.98,14.81,14.85,14481208
8-Jan-18,14.95,14.97,14.64,14.82,13052064
5-Jan-18,15.06,15.19,14.96,15.05,12539445
4-Jan-18,14.70,15.07,14.66,15.06,11333534
3-Jan-18,14.60,14.75,14.54,14.70,7907246
2-Jan-18,14.43,14.63,14.38,14.61,7155665
29-Dec-17,14.67,14.67,14.36,14.36,7097200
28-Dec-17,14.69,14.70,14.56,14.61,3686661
27-Dec-17,14.72,14.75,14.61,14.67,3260489
26-Dec-17,14.69,14.78,14.67,14.74,2882775
22-Dec-17,14.71,14.82,14.68,14.71,4171706
21-Dec-17,14.71,14.85,14.66,14.72,7888348
20-Dec-17,14.79,14.79,14.64,14.71,9259729
19-Dec-17,14.88,14.90,14.74,14.80,9792581
18-Dec-17,14.45,14.93,14.43,14.90,12653293
15-Dec-17,14.29,14.48,14.26,14.41,20251039
14-Dec-17,14.30,14.38,14.22,14.24,7601009
13-Dec-17,14.46,14.55,14.32,14.32,8640769
12-Dec-17,14.50,14.57,14.35,14.50,12199836
11-Dec-17,14.25,14.59,14.23,14.58,11132185
8-Dec-17,14.23,14.39,14.23,14.34,8114592
7-Dec-17,14.20,14.27,14.12,14.22,6818688
6-Dec-17,14.02,14.23,13.99,14.16,7091009
5-Dec-17,14.11,14.17,14.00,14.08,11892836
4-Dec-17,14.44,14.52,14.19,14.23,11095722
1-Dec-17,13.90,14.46,13.75,14.44,18544154
30-Nov-17,13.99,14.17,13.92,13.95,15101614
29-Nov-17,13.95,14.30,13.79,13.97,12093974
28-Nov-17,13.47,13.95,13.40,13.88,16054687
27-Nov-17,13.21,13.54,13.15,13.47,13862731
24-Nov-17,13.21,13.39,13.15,13.32,8555548
22-Nov-17,13.20,13.40,12.82,13.10,41931430
21-Nov-17,14.10,14.31,14.08,14.12,13733867
20-Nov-17,13.68,14.11,13.66,14.09,12408841
17-Nov-17,13.30,13.69,13.25,13.68,12897107
16-Nov-17,13.21,13.42,13.21,13.27,14822134
15-Nov-17,13.20,13.32,13.10,13.16,12002188
14-Nov-17,13.38,13.48,13.23,13.27,11350554
13-Nov-17,13.67,13.70,13.47,13.48,14681190
10-Nov-17,13.72,13.75,13.60,13.70,4518223
9-Nov-17,13.48,13.75,13.47,13.72,6231069
8-Nov-17,13.56,13.59,13.46,13.54,7751865
7-Nov-17,13.60,13.74,13.52,13.57,7362348
6-Nov-17,13.46,13.63,13.24,13.63,9582892
3-Nov-17,13.62,13.63,13.40,13.50,9542961
2-Nov-17,13.57,13.66,13.48,13.63,17522402
1-Nov-17,13.94,13.94,13.47,13.60,15499993
31-Oct-17,14.02,14.06,13.88,13.92,10261896
30-Oct-17,14.23,14.28,13.91,13.98,11940097
27-Oct-17,14.27,14.34,14.18,14.28,7034055
26-Oct-17,14.21,14.31,14.08,14.25,7006971
25-Oct-17,14.28,14.29,13.88,14.08,15537270
24-Oct-17,14.25,14.48,14.23,14.31,8236556
23-Oct-17,14.09,14.32,14.06,14.25,8558384
20-Oct-17,13.88,14.18,13.80,14.04,12664357
19-Oct-17,14.50,14.53,13.80,13.86,23836451
18-Oct-17,14.67,14.80,14.66,14.70,6831445
17-Oct-17,14.84,14.89,14.54,14.61,12841083
16-Oct-17,14.88,14.96,14.81,14.86,6351364
13-Oct-17,14.65,15.06,14.64,14.89,9941508
12-Oct-17,14.93,14.94,14.73,14.80,8239166
11-Oct-17,14.94,14.96,14.85,14.89,775328
10-Oct-17,14.82,15.03,14.81,14.96,9359375
9-Oct-17,14.84,14.97,14.77,14.80,6254922
6-Oct-17,14.79,14.85,14.58,14.80,11827338
5-Oct-17,14.84,14.96,14.76,14.83,7074433
4-Oct-17,14.70,14.89,14.55,14.80,7636527
3-Oct-17,14.97,14.99,14.62,14.69,10203601
2-Oct-17,14.68,15.00,14.65,14.97,13719642
29-Sep-17,14.60,14.75,14.54,14.71,6736895
28-Sep-17,14.84,14.94,14.56,14.57,11473548
27-Sep-17,14.89,15.12,14.82,14.85,21904880
26-Sep-17,14.74,15.08,14.69,14.89,25926091
25-Sep-17,14.19,14.72,14.17,14.70,29532238
22-Sep-17,13.86,14.29,13.82,14.26,22932470
21-Sep-17,13.60,13.90,13.51,13.79,22598605
20-Sep-17,13.58,13.68,13.50,13.63,17348043
19-Sep-17,13.56,13.64,13.47,13.49,10087546
18-Sep-17,13.57,13.72,13.51,13.54,12586086
15-Sep-17,13.37,13.56,13.32,13.52,15605995
14-Sep-17,13.18,13.53,13.13,13.47,16071715
13-Sep-17,13.08,13.25,12.97,13.23,24975429
12-Sep-17,13.36,13.41,12.99,13.12,19397957
11-Sep-17,13.30,13.47,13.24,13.35,16505858
8-Sep-17,13.29,13.38,13.06,13.12,24308651
7-Sep-17,13.73,13.77,13.25,13.25,27036825
6-Sep-17,14.29,14.32,13.60,13.77,40580268
5-Sep-17,14.20,14.40,13.83,14.04,27471170
1-Sep-17,14.13,14.39,13.82,14.31,22355795
31-Aug-17,17.98,18.14,17.95,18.06,11328969
30-Aug-17,17.88,17.99,17.78,17.98,6278045
29-Aug-17,17.65,17.94,17.58,17.92,5905678
28-Aug-17,17.98,17.98,17.68,17.79,7495126
25-Aug-17,17.99,18.14,17.80,17.95,9035773
24-Aug-17,17.72,18.06,17.66,17.95,6636112
23-Aug-17,17.55,17.75,17.53,17.71,7053018
22-Aug-17,17.36,17.70,17.35,17.67,5451087
21-Aug-17,17.20,17.35,17.08,17.31,6091153
18-Aug-17,17.26,17.40,17.09,17.18,9559965
17-Aug-17,17.52,17.68,17.30,17.30,9172965
16-Aug-17,17.74,17.87,17.52,17.60,4915676
15-Aug-17,17.56,17.84,17.53,17.75,8316514
14-Aug-17,17.49,17.85,17.46,17.58,7955051
11-Aug-17,17.20,17.37,17.16,17.30,5279450
10-Aug-17,17.60,17.60,17.07,17.12,9363145
9-Aug-17,17.55,17.70,17.44,17.64,6970445
8-Aug-17,17.59,17.70,17.52,17.63,7892874
7-Aug-17,17.49,17.64,17.45,17.63,4584397
4-Aug-17,17.29,17.57,17.29,17.51,6302497
3-Aug-17,17.34,17.36,17.16,17.29,6660133
2-Aug-17,17.59,17.64,17.27,17.35,7968737
1-Aug-17,17.55,17.60,17.44,17.55,7714003
31-Jul-17,-,-,17.50,17.51,8762126
28-Jul-17,17.50,17.55,17.29,17.51,9136957
27-Jul-17,17.70,17.70,17.40,17.55,10228387
26-Jul-17,17.90,17.96,17.55,17.61,7976202
25-Jul-17,17.84,18.01,17.74,17.88,7702155
24-Jul-17,17.98,18.10,17.79,17.84,10919482
21-Jul-17,17.86,18.03,17.77,18.01,11826010
20-Jul-17,17.67,17.93,17.65,17.90,14631164
19-Jul-17,17.25,17.71,17.25,17.67,13419835
18-Jul-17,17.20,17.25,17.05,17.15,10506432
17-Jul-17,17.19,17.32,17.10,17.23,7731116
14-Jul-17,17.10,17.23,17.02,17.19,6129621
13-Jul-17,16.79,17.16,16.76,17.09,13738461
12-Jul-17,16.75,16.85,16.58,16.79,10437693
11-Jul-17,16.71,16.85,16.57,16.78,9123711
10-Jul-17,16.61,16.84,16.60,16.74,10170599
7-Jul-17,16.52,16.65,16.40,16.61,13217694
6-Jul-17,16.85,16.92,16.42,16.48,14536874
5-Jul-17,16.72,16.99,16.71,16.94,10803033
3-Jul-17,16.67,16.89,16.67,16.67,4566581
30-Jun-17,16.73,16.80,16.58,16.59,8780464
29-Jun-17,16.75,16.80,16.37,16.65,12706073
28-Jun-17,16.59,16.96,16.50,16.90,10117579
27-Jun-17,16.74,16.79,16.50,16.50,9823667
26-Jun-17,16.87,16.98,16.79,16.81,10884938
23-Jun-17,16.75,17.00,16.66,16.85,17393667
22-Jun-17,16.54,16.75,16.50,16.68,9427650
21-Jun-17,16.70,16.79,16.54,16.57,10259905
20-Jun-17,16.69,16.74,16.48,16.64,13479004
19-Jun-17,16.51,16.77,16.51,16.72,11151327
16-Jun-17,16.58,16.61,16.44,16.49,15010511
15-Jun-17,16.70,16.76,16.47,16.52,17885384
14-Jun-17,16.85,16.95,16.65,16.74,11392997
13-Jun-17,16.82,16.97,16.80,16.88,12179693
12-Jun-17,16.89,16.98,16.56,16.85,11555260
9-Jun-17,17.04,17.32,16.80,16.99,10521133
8-Jun-17,17.09,17.12,16.98,17.05,10702312
7-Jun-17,17.03,17.24,17.01,17.04,14542252
6-Jun-17,17.14,17.19,17.03,17.03,13823545
5-Jun-17,17.34,17.35,17.13,17.16,15522645
2-Jun-17,17.34,17.58,16.95,17.40,29938805
1-Jun-17,18.35,18.37,17.47,17.52,38879030
31-May-17,18.80,18.88,18.56,18.81,23884016
30-May-17,18.78,18.93,18.69,18.85,17736032
26-May-17,18.85,18.89,18.74,18.83,13436562
25-May-17,18.97,19.00,18.81,18.84,18113260
24-May-17,18.84,18.98,18.78,18.91,11794177
23-May-17,18.87,18.90,18.75,18.86,13900935
22-May-17,18.52,18.85,18.51,18.79,13527206
19-May-17,18.84,19.00,18.47,18.53,20162007
18-May-17,18.65,18.96,18.52,18.78,12433342
17-May-17,18.93,19.02,18.72,18.80,13040758
16-May-17,19.00,19.16,18.92,19.11,9511902
15-May-17,18.90,19.13,18.87,18.99,10712898
12-May-17,18.88,19.02,18.84,18.88,9614504
11-May-17,18.92,19.06,18.80,18.86,12443363
10-May-17,18.79,19.00,18.75,19.00,11368391
9-May-17,18.87,18.97,18.64,18.78,16309722
8-May-17,18.84,18.95,18.76,18.89,9104972
5-May-17,18.84,18.85,18.67,18.83,12735999
4-May-17,18.75,18.80,18.61,18.75,6562089
3-May-17,18.66,18.77,18.57,18.67,10992961
2-May-17,18.72,18.84,18.66,18.70,7843404
1-May-17,18.69,18.83,18.64,18.73,8205002
28-Apr-17,18.62,18.70,18.49,18.63,9281917
27-Apr-17,18.60,18.66,18.43,18.63,13814765
26-Apr-17,18.50,18.78,18.42,18.61,10930195
25-Apr-17,18.49,18.59,18.42,18.52,8534762
24-Apr-17,18.25,18.54,18.20,18.44,14046458
21-Apr-17,18.30,18.32,18.02,18.14,12252832
20-Apr-17,18.23,18.41,18.18,18.33,10243907
19-Apr-17,18.15,18.29,18.09,18.16,7302954
18-Apr-17,18.08,18.20,17.98,18.13,8009906
17-Apr-17,18.02,18.13,17.98,18.11,7940003
13-Apr-17,18.01,18.16,17.94,17.99,16281369
12-Apr-17,18.33,18.34,17.94,18.05,13722972
11-Apr-17,18.26,18.35,18.09,18.18,11342890
10-Apr-17,18.34,18.51,18.24,18.30,22041193
7-Apr-17,17.96,18.45,17.91,18.28,28146637
6-Apr-17,17.98,18.13,17.91,18.02,12394962
5-Apr-17,17.98,18.10,17.78,17.90,19009037
4-Apr-17,17.40,17.91,17.35,17.90,19049173
3-Apr-17,18.00,18.06,17.31,17.57,32015556
31-Mar-17,23.43,24.00,23.43,23.70,14225838
30-Mar-17,23.60,23.82,23.52,23.62,8948331
29-Mar-17,23.00,23.93,22.90,23.67,17229456
28-Mar-17,22.69,23.21,22.63,23.01,8425849
27-Mar-17,22.55,22.85,22.38,22.72,6688789
24-Mar-17,22.86,23.24,22.63,22.77,9174040
23-Mar-17,22.45,22.96,22.38,22.80,9762148
22-Mar-17,22.22,22.55,22.10,22.50,9092632
21-Mar-17,22.95,23.08,22.20,22.25,16223977
20-Mar-17,22.77,23.06,22.66,22.95,8572873
17-Mar-17,22.65,22.99,22.51,22.85,12379737
16-Mar-17,22.70,22.86,22.50,22.64,10297833
15-Mar-17,22.23,22.85,22.11,22.69,14013911
