Date,Open,High,Low,Close,Volume
23-Feb-18,68.16,68.47,66.20,68.05,1952222
22-Feb-18,69.25,69.78,67.83,67.97,1891796
21-Feb-18,68.13,70.44,67.46,68.68,3136838
20-Feb-18,73.54,73.71,67.56,67.97,4500482
16-Feb-18,68.22,71.17,68.00,69.52,2869596
15-Feb-18,68.69,68.69,67.21,68.38,2146941
14-Feb-18,66.93,68.70,66.91,68.43,2571595
13-Feb-18,65.40,67.96,63.01,67.39,12345154
12-Feb-18,72.28,73.19,71.38,72.18,2295407
9-Feb-18,71.31,72.33,70.26,71.75,1865371
8-Feb-18,72.89,73.06,70.82,70.85,1854236
7-Feb-18,73.08,74.50,72.91,72.97,1764506
6-Feb-18,71.06,73.97,70.35,73.53,2650495
5-Feb-18,74.26,75.00,71.79,71.80,1923022
2-Feb-18,74.99,75.71,74.17,74.35,1344649
1-Feb-18,75.22,75.51,73.80,75.28,1229827
31-Jan-18,78.11,78.11,75.05,75.68,1927624
30-Jan-18,78.85,79.44,78.04,78.07,2262732
29-Jan-18,78.91,79.54,78.66,79.41,1232088
26-Jan-18,78.10,79.00,77.55,78.93,1518462
25-Jan-18,77.74,78.50,76.96,78.14,1431948
24-Jan-18,76.62,77.69,76.34,77.41,1555704
23-Jan-18,76.27,76.93,75.46,76.30,1201984
22-Jan-18,76.13,76.45,75.66,76.41,1038005
19-Jan-18,74.65,75.98,74.38,75.96,1146820
18-Jan-18,75.88,76.44,74.45,74.62,1778323
17-Jan-18,76.60,77.25,75.60,76.35,4149671
16-Jan-18,75.00,76.37,74.73,76.04,2075651
12-Jan-18,73.70,75.00,73.06,74.84,1045507
11-Jan-18,72.73,73.37,72.06,73.30,1251893
10-Jan-18,73.38,73.40,71.15,72.79,1624629
9-Jan-18,74.34,74.40,73.20,73.45,1411070
8-Jan-18,73.11,74.43,72.87,74.34,1181198
5-Jan-18,72.88,73.56,72.36,73.33,1299400
4-Jan-18,72.50,72.79,71.61,72.18,1185875
3-Jan-18,71.25,72.34,70.11,72.14,1421941
2-Jan-18,70.36,71.57,70.14,71.47,1243582
29-Dec-17,70.49,70.96,69.57,69.88,972702
28-Dec-17,70.60,70.65,70.01,70.56,745879
27-Dec-17,70.61,70.83,70.17,70.46,940299
26-Dec-17,71.02,71.46,70.49,70.62,1246354
22-Dec-17,71.24,71.50,70.57,71.01,897605
21-Dec-17,71.26,71.59,70.79,71.16,1186802
20-Dec-17,71.38,71.91,70.96,71.10,1361101
19-Dec-17,70.46,72.28,70.46,71.49,1695268
18-Dec-17,70.43,71.00,70.10,70.16,1132596
15-Dec-17,68.88,70.76,68.58,70.16,2473487
14-Dec-17,68.96,69.15,68.42,68.69,1311117
13-Dec-17,67.97,69.04,67.65,68.70,1651326
12-Dec-17,68.27,68.41,67.42,67.81,1961338
11-Dec-17,67.90,68.36,67.37,68.32,2388849
8-Dec-17,68.20,68.57,67.53,67.90,2056125
7-Dec-17,67.45,68.11,67.19,67.57,1903589
6-Dec-17,68.00,69.41,67.32,67.58,4009095
5-Dec-17,71.36,71.72,69.58,71.10,2754882
4-Dec-17,71.59,71.90,70.97,71.21,1835561
1-Dec-17,70.93,71.25,69.43,70.66,1757976
30-Nov-17,70.37,71.59,70.15,71.45,2721034
29-Nov-17,70.60,70.93,69.30,70.30,3248783
28-Nov-17,69.92,70.64,68.82,70.50,1980984
27-Nov-17,69.95,70.47,69.63,69.89,1697991
24-Nov-17,70.31,70.77,69.33,69.97,1755129
22-Nov-17,67.86,70.38,67.74,69.95,2831633
21-Nov-17,67.93,68.22,66.51,67.97,2848078
20-Nov-17,68.87,69.26,66.13,67.50,2754566
17-Nov-17,69.20,69.55,68.65,69.12,2290571
16-Nov-17,67.85,69.90,67.85,69.51,4053409
15-Nov-17,66.93,68.76,66.55,67.97,4215651
14-Nov-17,66.40,66.99,65.28,66.84,3702947
13-Nov-17,67.06,67.49,65.72,66.50,3873250
10-Nov-17,69.36,69.40,67.02,67.05,5071486
9-Nov-17,69.48,69.99,68.80,69.66,2636329
8-Nov-17,70.75,71.48,68.35,70.00,3021356
7-Nov-17,70.75,71.89,69.96,71.01,4329807
6-Nov-17,70.00,71.90,69.51,70.04,7700087
3-Nov-17,76.45,79.37,76.16,77.64,3473666
2-Nov-17,77.28,77.52,76.10,76.30,1436782
1-Nov-17,79.03,79.05,77.16,77.24,1714819
31-Oct-17,77.80,78.84,77.76,78.60,1668664
30-Oct-17,76.58,77.88,76.28,77.70,2408381
27-Oct-17,80.90,81.10,75.60,76.55,4861894
26-Oct-17,83.21,83.73,81.10,81.47,1656070
25-Oct-17,82.54,83.36,82.36,82.90,1362617
24-Oct-17,83.01,83.46,82.54,82.97,898244
23-Oct-17,84.55,84.77,82.41,82.85,1200574
20-Oct-17,83.62,84.88,83.20,84.53,1054733
19-Oct-17,82.56,83.25,82.48,83.09,1235095
18-Oct-17,82.49,82.81,81.83,82.29,843599
17-Oct-17,81.68,82.64,81.63,82.45,1566149
16-Oct-17,80.93,82.01,80.67,81.91,2196812
13-Oct-17,80.38,81.10,79.96,80.93,668865
12-Oct-17,80.78,81.16,80.44,80.51,811887
11-Oct-17,79.89,80.73,79.80,80.67,732640
10-Oct-17,80.17,80.56,79.71,79.89,955069
9-Oct-17,80.91,80.91,79.83,80.10,1207433
