Date,Open,High,Low,Close,Volume
23-Feb-18,85.43,88.02,84.88,87.80,1460410
22-Feb-18,85.14,87.54,85.02,85.19,1315685
21-Feb-18,85.36,86.98,84.66,84.71,1366648
20-Feb-18,85.60,87.56,84.58,85.51,1357429
16-Feb-18,85.55,88.23,84.51,86.03,2473939
15-Feb-18,87.90,88.59,83.75,85.59,2488976
14-Feb-18,87.31,89.12,86.21,88.17,2243836
13-Feb-18,87.25,88.84,85.89,88.03,1661870
12-Feb-18,84.99,88.36,84.99,87.52,1745137
9-Feb-18,84.45,85.38,80.85,84.50,2399153
8-Feb-18,86.40,87.23,83.88,83.92,1930397
7-Feb-18,87.25,88.05,86.09,86.34,1254563
6-Feb-18,85.06,88.33,84.21,88.11,2288870
5-Feb-18,86.09,87.90,85.31,85.34,2369472
2-Feb-18,89.11,89.45,85.75,85.92,2394510
1-Feb-18,90.52,91.27,89.27,89.67,1348960
31-Jan-18,92.61,92.76,89.77,90.29,1404592
30-Jan-18,92.93,93.37,91.66,92.50,1373366
29-Jan-18,95.90,95.94,93.27,93.54,1350057
26-Jan-18,94.73,95.68,94.06,95.51,1302796
25-Jan-18,95.41,95.78,93.66,94.26,1228469
24-Jan-18,94.75,96.44,94.33,95.34,1524069
23-Jan-18,94.10,95.16,93.88,94.63,1414473
22-Jan-18,93.38,95.33,92.65,94.08,2645193
19-Jan-18,92.23,93.58,91.55,93.16,1927453
18-Jan-18,90.10,93.51,89.98,91.92,2104979
17-Jan-18,92.00,92.00,88.81,90.31,2660710
16-Jan-18,94.07,95.22,91.23,91.65,2323799
12-Jan-18,93.68,94.49,92.91,94.07,1572991
11-Jan-18,96.45,96.61,92.52,93.06,3251159
10-Jan-18,96.12,97.24,94.37,96.62,1347867
9-Jan-18,101.39,101.90,96.16,96.29,2639866
8-Jan-18,99.40,101.02,98.29,100.81,1531351
5-Jan-18,99.02,100.65,98.50,99.85,1422601
4-Jan-18,101.86,101.97,97.60,98.44,1445320
3-Jan-18,101.75,102.63,100.71,100.98,1458486
2-Jan-18,97.36,101.65,95.28,100.89,1830080
29-Dec-17,95.54,96.15,94.70,94.71,1236858
28-Dec-17,96.44,96.95,94.40,95.38,1139948
27-Dec-17,95.62,96.95,95.35,96.51,832497
26-Dec-17,95.56,96.12,95.16,95.40,502717
22-Dec-17,96.06,96.22,94.72,95.81,941850
21-Dec-17,94.49,97.19,93.81,96.36,1029061
20-Dec-17,95.39,95.95,93.52,94.03,1414696
19-Dec-17,93.81,95.25,93.25,95.02,1524696
18-Dec-17,96.92,96.93,93.32,93.56,1557725
15-Dec-17,97.41,97.41,94.45,96.41,3296302
14-Dec-17,98.82,99.50,95.86,95.97,1304013
13-Dec-17,95.60,99.52,95.16,98.10,1323276
12-Dec-17,96.95,96.98,94.85,95.40,1548638
11-Dec-17,96.25,97.58,96.11,97.25,1363813
8-Dec-17,95.26,97.91,95.26,96.58,1339633
