Date,Open,High,Low,Close,Volume
23-Feb-18,421.31,427.75,418.97,427.51,472273
22-Feb-18,419.72,425.95,418.39,419.79,577833
21-Feb-18,421.29,426.81,416.30,416.56,592382
20-Feb-18,415.51,427.38,415.46,421.76,894245
16-Feb-18,418.56,421.13,414.46,415.98,549737
15-Feb-18,413.00,418.81,410.00,418.56,521359
14-Feb-18,397.51,411.21,397.51,409.89,507581
13-Feb-18,396.66,402.90,394.00,402.00,478708
12-Feb-18,395.50,401.88,391.61,398.51,845177
9-Feb-18,386.93,396.83,380.00,392.91,1301214
8-Feb-18,400.48,400.64,381.60,381.87,1293408
7-Feb-18,407.12,410.88,396.34,399.53,770645
6-Feb-18,390.68,412.57,385.51,408.33,1571945
5-Feb-18,415.67,417.00,399.01,399.01,1255266
2-Feb-18,423.01,426.20,416.27,416.96,939639
1-Feb-18,432.61,433.13,423.36,425.92,706539
31-Jan-18,430.00,436.33,427.32,431.67,825928
30-Jan-18,433.20,433.94,423.59,427.84,1072854
29-Jan-18,441.77,445.90,433.01,436.34,877438
26-Jan-18,437.87,440.25,417.00,440.24,1819885
25-Jan-18,441.82,452.00,440.01,449.81,1312355
24-Jan-18,441.74,442.21,432.27,437.48,1008200
23-Jan-18,433.74,441.52,431.81,439.55,566374
22-Jan-18,435.00,435.00,427.50,433.94,825594
19-Jan-18,433.96,436.57,428.48,433.23,751544
18-Jan-18,431.38,434.90,426.42,432.07,791406
17-Jan-18,423.60,432.23,422.52,431.10,896456
16-Jan-18,422.00,426.68,417.00,420.07,1007318
12-Jan-18,419.13,421.93,415.76,419.04,932782
11-Jan-18,422.00,423.95,416.23,421.37,1274793
10-Jan-18,423.51,426.98,408.45,423.76,2043566
9-Jan-18,393.73,404.12,393.00,397.60,1401081
8-Jan-18,378.72,392.64,377.21,391.86,992502
5-Jan-18,380.88,380.88,375.80,379.01,699728
4-Jan-18,385.73,389.48,375.09,376.92,898798
3-Jan-18,377.12,384.17,375.01,383.82,788470
2-Jan-18,367.89,375.81,365.11,375.25,827902
29-Dec-17,368.57,369.56,364.78,364.94,528352
28-Dec-17,368.16,369.73,366.70,368.87,380650
27-Dec-17,366.00,369.15,365.13,368.09,407010
26-Dec-17,361.89,368.84,360.04,365.83,442133
22-Dec-17,361.00,364.54,359.78,363.16,807468
21-Dec-17,368.09,368.50,361.07,361.33,750952
20-Dec-17,367.13,369.59,363.81,367.21,487544
19-Dec-17,371.49,375.30,366.45,367.35,732362
18-Dec-17,372.08,374.17,368.04,371.90,798958
15-Dec-17,364.13,373.33,361.22,369.87,1473100
14-Dec-17,370.00,373.87,359.75,360.56,1202830
13-Dec-17,370.49,373.07,368.53,371.08,1070011
12-Dec-17,373.55,374.77,368.51,370.49,1280305
11-Dec-17,378.34,379.70,371.58,373.55,1321543
8-Dec-17,386.61,389.40,378.59,379.61,788120
7-Dec-17,381.71,384.92,378.70,383.78,766668
6-Dec-17,368.79,379.69,365.60,379.04,1051740
