Date,Open,High,Low,Close,Volume
23-Feb-18,62.91,63.26,61.24,62.35,1878546
22-Feb-18,62.48,63.84,62.08,62.60,1006188
21-Feb-18,62.40,63.51,62.05,62.06,1304922
20-Feb-18,62.76,63.48,62.11,62.47,983232
16-Feb-18,63.40,64.30,63.14,63.19,1486252
15-Feb-18,64.00,64.11,62.77,63.71,1508525
14-Feb-18,61.58,63.78,61.32,63.66,1669651
13-Feb-18,62.45,63.01,61.48,62.27,1327360
12-Feb-18,62.99,63.90,61.47,63.09,2033748
9-Feb-18,63.66,63.66,60.35,62.23,2030225
8-Feb-18,66.14,66.26,62.81,62.82,3666171
7-Feb-18,64.10,67.10,62.92,66.01,2075078
6-Feb-18,59.45,65.00,56.55,64.14,2537831
5-Feb-18,66.21,66.83,63.06,63.15,1819806
2-Feb-18,69.62,69.68,66.71,67.12,1043291
1-Feb-18,69.09,70.19,68.52,70.02,817375
31-Jan-18,70.79,70.99,69.01,69.46,894622
30-Jan-18,70.67,71.02,68.53,69.70,1179877
29-Jan-18,71.00,72.18,70.52,71.05,1446959
26-Jan-18,70.04,70.13,69.32,69.95,755373
25-Jan-18,70.62,70.79,69.40,69.86,576905
24-Jan-18,70.30,70.90,69.83,70.24,733908
23-Jan-18,70.15,70.40,69.52,69.88,643899
22-Jan-18,69.71,70.47,69.47,70.23,986198
19-Jan-18,69.43,69.99,68.77,69.95,923850
18-Jan-18,69.90,70.05,69.25,69.39,748313
17-Jan-18,69.79,69.90,69.09,69.58,649736
16-Jan-18,70.00,70.35,69.25,69.42,1411935
12-Jan-18,69.86,69.86,69.27,69.56,1177071
11-Jan-18,68.13,69.52,67.95,69.50,1235120
10-Jan-18,67.79,68.19,67.26,67.81,735389
9-Jan-18,68.07,68.52,67.47,67.71,913606
8-Jan-18,68.00,68.16,67.34,67.96,1041245
5-Jan-18,68.01,68.31,67.37,68.14,1059074
4-Jan-18,67.50,68.00,66.97,67.79,1509972
3-Jan-18,67.00,67.45,66.76,67.10,1108621
2-Jan-18,66.50,67.34,66.25,66.87,1145384
29-Dec-17,66.57,66.81,65.94,65.96,519526
28-Dec-17,66.61,66.75,66.14,66.57,506723
27-Dec-17,66.27,66.31,65.60,66.28,729116
26-Dec-17,65.94,66.40,65.16,66.05,733734
22-Dec-17,66.90,66.90,66.01,66.28,495918
21-Dec-17,66.74,66.81,66.06,66.48,735398
20-Dec-17,66.95,67.03,66.37,66.39,885223
19-Dec-17,66.63,67.01,66.34,66.39,919720
18-Dec-17,66.43,67.20,66.30,66.74,1244388
15-Dec-17,66.43,67.18,65.93,66.19,1636078
