Date,Open,High,Low,Close,Volume
23-Feb-18,15.29,15.55,15.11,15.54,13864993
22-Feb-18,15.41,15.62,15.15,15.18,18251556
21-Feb-18,15.80,16.04,15.29,15.30,16923664
20-Feb-18,15.63,16.23,15.62,15.85,22272620
16-Feb-18,16.22,16.25,15.62,15.65,17797975
15-Feb-18,16.95,16.95,15.49,16.32,28950225
14-Feb-18,15.81,17.01,15.72,16.95,14150091
13-Feb-18,16.10,16.22,15.90,16.07,8344398
12-Feb-18,15.76,16.47,15.74,16.27,15792415
9-Feb-18,15.77,15.92,14.87,15.51,17712221
8-Feb-18,16.38,16.70,15.68,15.68,15091086
7-Feb-18,17.16,17.64,16.32,16.33,17435450
6-Feb-18,16.31,17.33,16.14,17.23,16059039
5-Feb-18,16.70,17.38,16.61,16.78,15320078
2-Feb-18,18.14,18.23,17.42,17.52,10885077
1-Feb-18,18.25,18.52,18.16,18.43,9494424
31-Jan-18,18.06,18.30,17.97,18.19,9760274
30-Jan-18,18.45,18.49,17.71,18.06,12467494
29-Jan-18,18.63,19.07,18.51,18.62,7613634
26-Jan-18,18.65,19.04,18.46,18.84,8947447
25-Jan-18,19.44,19.45,18.65,18.68,9251595
24-Jan-18,19.34,19.48,19.01,19.28,11367172
23-Jan-18,19.34,19.52,18.92,19.22,11965002
22-Jan-18,18.65,19.28,18.61,19.28,13343213
19-Jan-18,18.54,18.59,18.26,18.58,7614689
18-Jan-18,18.76,18.92,18.46,18.69,10145137
17-Jan-18,18.35,19.04,18.07,18.84,19818169
16-Jan-18,18.89,18.91,18.22,18.24,13872546
12-Jan-18,18.68,18.96,18.57,18.82,10312221
11-Jan-18,18.00,18.81,17.94,18.60,13189720
10-Jan-18,18.09,18.15,17.85,17.90,7921869
9-Jan-18,18.01,18.13,17.86,18.05,12120455
8-Jan-18,17.87,17.98,17.65,17.97,7096781
5-Jan-18,17.96,17.96,17.63,17.89,11962183
4-Jan-18,17.90,18.15,17.62,18.12,14052092
3-Jan-18,17.45,17.87,17.43,17.67,10684677
2-Jan-18,17.11,17.39,17.04,17.38,8107020
29-Dec-17,17.15,17.18,16.92,16.93,7122692
28-Dec-17,17.00,17.11,16.82,17.07,8274650
27-Dec-17,17.18,17.22,16.93,17.01,7509808
26-Dec-17,17.04,17.35,16.96,17.26,9356686
22-Dec-17,16.98,17.22,16.88,16.90,9381947
21-Dec-17,16.33,17.10,16.27,17.05,15603162
20-Dec-17,16.12,16.36,15.82,16.32,13842507
19-Dec-17,15.48,16.04,15.34,16.02,14504545
18-Dec-17,15.09,15.47,14.98,15.43,13875717
15-Dec-17,15.27,15.34,14.98,15.01,16611347
14-Dec-17,15.09,15.38,15.07,15.12,9192254
13-Dec-17,15.19,15.42,15.10,15.20,14765400
12-Dec-17,15.18,15.29,14.90,15.18,10990062
11-Dec-17,15.14,15.32,15.04,15.15,10294757
8-Dec-17,14.89,15.18,14.76,15.15,8441696
7-Dec-17,14.46,14.78,14.38,14.74,7961454
6-Dec-17,14.88,14.88,14.38,14.45,10756646
5-Dec-17,15.16,15.22,14.82,14.88,14085702
4-Dec-17,14.97,15.48,14.85,14.90,13136865
1-Dec-17,15.00,15.24,14.79,15.08,18223492
30-Nov-17,14.96,15.28,14.66,14.84,18675271
29-Nov-17,14.50,14.80,14.46,14.75,10057448
28-Nov-17,14.53,14.64,14.44,14.56,11013151
27-Nov-17,14.87,14.96,14.46,14.48,11718222
24-Nov-17,14.94,15.29,14.92,15.13,6794234
22-Nov-17,14.72,14.97,14.67,14.88,20262840
21-Nov-17,14.53,14.68,14.36,14.52,11689607
20-Nov-17,14.85,14.87,14.43,14.47,14094732
17-Nov-17,14.71,15.19,14.70,15.05,10747254
16-Nov-17,14.76,14.83,14.50,14.52,14253342
15-Nov-17,14.64,14.92,14.50,14.79,13358198
14-Nov-17,15.34,15.35,14.83,14.84,14720666
13-Nov-17,15.62,15.71,15.48,15.55,9103704
10-Nov-17,15.58,15.76,15.41,15.62,11447588
9-Nov-17,15.69,15.90,15.60,15.78,13248795
8-Nov-17,16.12,16.12,15.66,15.75,18182248
7-Nov-17,16.25,16.59,16.12,16.16,17796789
6-Nov-17,15.73,16.35,15.67,16.33,23687448
3-Nov-17,15.50,15.68,15.26,15.58,17527056
2-Nov-17,14.74,15.54,14.71,15.44,22530148
1-Nov-17,14.37,14.89,14.35,14.87,17084309
31-Oct-17,14.12,14.34,13.98,14.22,13880305
30-Oct-17,13.88,14.24,13.84,14.16,18830332
27-Oct-17,13.44,13.81,13.39,13.81,9057961
26-Oct-17,13.52,13.61,13.28,13.56,11090876
25-Oct-17,13.62,13.76,13.34,13.48,11255916
24-Oct-17,13.74,13.86,13.64,13.71,12140211
23-Oct-17,13.92,13.97,13.62,13.63,8690537
20-Oct-17,13.79,13.95,13.74,13.93,7477768
19-Oct-17,13.69,13.89,13.64,13.74,7345124
18-Oct-17,13.93,14.14,13.74,13.77,9874703
17-Oct-17,13.85,13.97,13.65,13.96,9219151
16-Oct-17,13.85,14.12,13.78,13.85,11375775
13-Oct-17,13.77,13.95,13.73,13.75,11382952
12-Oct-17,13.51,13.69,13.47,13.62,6869646
11-Oct-17,13.66,13.73,13.45,13.48,1096834
10-Oct-17,13.74,13.84,13.59,13.62,9912484
9-Oct-17,13.60,13.68,13.46,13.58,6952850
6-Oct-17,13.63,13.84,13.44,13.55,7784198
5-Oct-17,13.91,14.08,13.81,13.88,11090661
4-Oct-17,13.79,14.16,13.78,13.90,14323322
3-Oct-17,13.56,13.76,13.51,13.76,9736190
2-Oct-17,13.20,13.60,13.08,13.59,11024592
29-Sep-17,13.45,13.58,13.30,13.56,14510249
28-Sep-17,13.77,13.95,13.36,13.53,19314285
27-Sep-17,13.45,13.81,13.33,13.73,21594660
26-Sep-17,13.09,13.44,12.97,13.40,14915364
25-Sep-17,12.96,13.25,12.86,13.19,10769018
22-Sep-17,12.65,12.97,12.62,12.79,11858658
21-Sep-17,12.40,12.81,12.31,12.73,18559423
