Date,Open,High,Low,Close,Volume
23-Feb-18,32.32,33.26,32.11,33.26,3525639
22-Feb-18,32.70,32.90,31.99,32.01,3144753
21-Feb-18,32.96,33.29,32.52,32.52,2128013
20-Feb-18,33.50,33.64,33.02,33.11,3825942
16-Feb-18,33.58,34.26,33.55,33.68,4972891
15-Feb-18,33.13,33.61,32.85,33.60,4893752
14-Feb-18,32.90,33.16,32.33,32.98,5376984
13-Feb-18,33.52,33.58,32.95,33.06,5293973
12-Feb-18,34.05,34.24,32.95,33.60,9335066
9-Feb-18,34.24,35.11,33.50,33.70,12168999
8-Feb-18,36.72,36.90,33.90,33.90,11833034
7-Feb-18,36.79,37.93,36.75,37.56,6865187
6-Feb-18,35.66,37.14,35.25,36.86,5640623
5-Feb-18,37.22,37.58,36.07,36.08,4476839
2-Feb-18,38.41,38.51,37.22,37.49,4037172
1-Feb-18,37.21,39.25,37.02,38.51,6983569
31-Jan-18,36.72,37.56,36.48,37.41,3989133
30-Jan-18,36.91,37.18,36.45,36.52,3195575
29-Jan-18,37.03,37.28,36.82,37.03,2386770
26-Jan-18,37.27,37.49,37.10,37.19,2499975
25-Jan-18,37.70,37.73,37.16,37.20,2248991
24-Jan-18,37.37,37.89,37.11,37.53,3493235
23-Jan-18,37.07,37.27,36.80,37.08,2692879
22-Jan-18,36.70,37.13,36.69,37.10,3262969
19-Jan-18,36.68,36.78,36.40,36.71,3172771
18-Jan-18,36.37,37.09,36.37,36.56,2848405
17-Jan-18,37.29,37.29,36.03,36.29,4129220
16-Jan-18,37.61,37.71,37.07,37.10,3042044
12-Jan-18,36.39,37.58,36.39,37.46,2777471
11-Jan-18,36.41,36.65,36.20,36.30,3879587
10-Jan-18,36.30,36.40,36.06,36.26,3308998
9-Jan-18,36.07,36.43,36.04,36.33,4840550
8-Jan-18,36.81,37.00,36.03,36.16,7051670
5-Jan-18,35.97,36.10,35.70,36.00,4482772
4-Jan-18,36.15,36.15,35.68,35.79,3540874
3-Jan-18,36.62,36.85,35.97,35.99,2879381
2-Jan-18,36.40,36.82,35.95,36.66,3913124
29-Dec-17,36.10,36.61,35.98,36.40,3043851
28-Dec-17,35.82,36.03,35.55,36.00,2577038
27-Dec-17,36.31,36.31,35.81,35.86,2073092
26-Dec-17,36.64,36.88,36.13,36.21,1897739
22-Dec-17,36.47,36.76,36.31,36.54,1333261
21-Dec-17,36.31,36.65,36.10,36.45,3359175
20-Dec-17,37.59,37.65,36.04,36.22,5470696
19-Dec-17,37.52,37.58,37.26,37.50,2515819
18-Dec-17,37.55,37.78,37.27,37.53,3613144
15-Dec-17,36.80,37.85,36.73,37.22,11274760
14-Dec-17,36.30,36.95,36.24,36.60,5274022
13-Dec-17,37.83,37.98,36.77,36.95,2948412
12-Dec-17,37.93,38.22,37.64,37.93,2494074
11-Dec-17,37.98,38.09,37.72,37.89,2784877
8-Dec-17,38.05,38.15,37.79,37.95,5133016
7-Dec-17,37.95,38.30,37.74,38.11,3580325
6-Dec-17,37.83,38.01,37.53,37.96,2867903
5-Dec-17,37.63,37.91,37.21,37.83,3742419
4-Dec-17,36.76,38.35,36.72,37.61,4391458
1-Dec-17,36.75,37.01,35.61,36.23,3127041
30-Nov-17,36.55,37.05,36.39,36.72,4099270
29-Nov-17,37.00,37.31,36.29,36.32,4559688
28-Nov-17,36.73,37.47,36.41,37.45,3128655
27-Nov-17,36.54,36.66,36.19,36.58,2166568
24-Nov-17,36.67,36.70,36.23,36.51,585593
22-Nov-17,36.08,36.94,36.08,36.59,1933486
21-Nov-17,36.20,36.56,35.97,36.00,2367572
20-Nov-17,36.08,36.18,35.65,35.85,2620738
17-Nov-17,35.73,36.68,35.66,36.38,4459954
16-Nov-17,36.18,36.37,35.63,35.67,3890193
15-Nov-17,35.81,36.12,35.32,36.07,2929370
14-Nov-17,35.96,36.12,35.41,35.97,4418285
13-Nov-17,36.29,36.70,36.08,36.17,3509820
10-Nov-17,36.76,37.05,36.13,36.62,3805665
9-Nov-17,35.76,37.43,34.22,37.10,8636078
8-Nov-17,37.87,38.35,37.50,37.54,5172432
7-Nov-17,37.42,38.04,37.39,38.00,4020830
6-Nov-17,36.75,37.48,36.69,37.38,2600097
3-Nov-17,36.80,36.91,36.44,36.84,2203476
2-Nov-17,36.19,36.85,35.84,36.81,4880849
1-Nov-17,37.18,37.22,36.06,36.16,3434539
31-Oct-17,38.50,38.50,36.97,37.07,3073464
30-Oct-17,38.50,38.50,37.55,37.66,5160106
27-Oct-17,39.40,39.64,38.47,38.57,5278068
26-Oct-17,38.85,39.53,38.71,39.27,4866412
25-Oct-17,37.07,39.58,37.00,38.56,9094034
24-Oct-17,41.32,41.38,40.58,41.13,3676345
23-Oct-17,41.75,41.99,41.34,41.38,2474445
20-Oct-17,41.37,42.16,41.35,41.76,3359289
19-Oct-17,41.50,41.78,41.27,41.31,2466238
18-Oct-17,40.03,41.87,40.03,41.69,4779232
17-Oct-17,39.58,40.03,39.48,40.00,1898354
16-Oct-17,39.63,39.76,39.39,39.62,1299934
13-Oct-17,40.07,40.15,39.67,39.70,1952227
12-Oct-17,39.58,39.95,39.43,39.87,2708688
11-Oct-17,40.35,40.45,40.29,40.32,512504
10-Oct-17,40.62,40.89,40.13,40.18,2129353
9-Oct-17,41.15,41.21,40.33,40.39,1289200
6-Oct-17,40.95,41.16,40.85,41.15,1463472
5-Oct-17,41.41,41.48,41.00,41.02,2646183
4-Oct-17,41.41,41.61,41.17,41.50,1617729
3-Oct-17,41.52,41.53,40.72,41.33,2940324
2-Oct-17,41.45,41.91,41.26,41.45,1792365
