Date,Open,High,Low,Close,Volume
23-Feb-18,15.05,15.41,14.94,15.30,2209963
22-Feb-18,15.37,15.51,14.91,14.97,2887897
21-Feb-18,15.49,15.74,15.31,15.32,3005290
20-Feb-18,15.70,16.14,15.34,15.41,4584866
16-Feb-18,16.44,16.83,15.74,15.78,5414150
15-Feb-18,16.16,16.74,15.72,16.54,8754407
14-Feb-18,15.13,16.33,14.45,16.14,10617147
13-Feb-18,14.55,15.65,14.49,15.29,20751087
12-Feb-18,12.61,13.43,12.60,13.18,8042844
9-Feb-18,12.08,12.63,11.92,12.46,5646164
8-Feb-18,12.14,12.25,11.70,11.95,3267739
7-Feb-18,12.08,12.53,12.05,12.15,3775156
6-Feb-18,11.65,12.12,11.41,12.05,6084580
5-Feb-18,12.25,12.54,11.86,11.87,3088130
2-Feb-18,12.64,12.76,12.30,12.41,2607829
1-Feb-18,12.67,12.91,12.51,12.70,2924631
31-Jan-18,13.02,13.05,12.75,12.85,3172929
30-Jan-18,13.08,13.20,12.77,12.99,3013993
29-Jan-18,13.15,13.42,13.15,13.18,3546154
26-Jan-18,13.30,13.42,13.15,13.27,2584562
25-Jan-18,13.73,13.73,13.14,13.31,3314927
24-Jan-18,13.61,13.76,13.23,13.61,3964507
23-Jan-18,13.36,13.75,13.29,13.59,4143943
22-Jan-18,12.85,13.28,12.67,13.28,4735057
19-Jan-18,12.40,12.98,12.40,12.85,6101584
18-Jan-18,12.33,12.39,12.16,12.37,6691103
17-Jan-18,12.57,12.66,12.27,12.39,7005987
16-Jan-18,13.74,13.88,12.30,12.48,14256780
12-Jan-18,14.21,14.39,13.90,14.14,4573854
11-Jan-18,13.95,14.49,13.82,14.13,6438818
10-Jan-18,13.85,14.05,13.67,13.94,5960052
9-Jan-18,14.16,14.62,13.97,14.10,8791364
8-Jan-18,14.69,15.14,14.64,14.78,4838135
5-Jan-18,14.75,15.69,14.71,14.73,9431345
4-Jan-18,14.44,14.79,14.28,14.75,6026551
3-Jan-18,13.97,14.47,13.97,14.40,4839585
2-Jan-18,13.45,14.01,13.23,13.97,6264809
29-Dec-17,14.07,14.14,13.29,13.32,6684072
28-Dec-17,14.22,14.27,14.00,14.14,4597333
27-Dec-17,14.10,14.56,14.05,14.23,5030027
26-Dec-17,13.73,14.10,13.66,14.07,3032604
22-Dec-17,13.81,13.92,13.47,13.80,6300618
21-Dec-17,13.77,13.97,13.59,13.95,6676904
20-Dec-17,14.04,14.14,13.58,13.72,5351996
19-Dec-17,14.30,14.36,14.00,14.10,4616945
18-Dec-17,13.91,14.33,13.41,14.24,10300791
15-Dec-17,12.83,13.93,12.80,13.62,18509445
14-Dec-17,12.38,12.54,12.21,12.45,2654281
