Date,Open,High,Low,Close,Volume
23-Feb-18,43.23,43.52,42.98,43.45,1602692
22-Feb-18,42.66,43.94,42.66,43.10,2247173
21-Feb-18,43.09,43.76,42.99,43.30,2495050
20-Feb-18,43.66,43.76,42.60,43.00,3612775
16-Feb-18,43.14,44.17,42.92,43.80,3267302
15-Feb-18,43.65,43.79,42.75,43.12,3768024
14-Feb-18,41.93,43.75,41.82,43.50,4621034
13-Feb-18,41.52,42.10,41.34,41.90,3382146
12-Feb-18,41.86,42.12,40.50,41.60,3929278
9-Feb-18,41.63,42.27,40.66,41.86,5166923
8-Feb-18,41.05,43.26,40.02,41.26,12698907
7-Feb-18,37.41,42.39,37.37,42.00,22101716
6-Feb-18,37.32,38.23,36.58,37.34,6218324
5-Feb-18,37.60,39.08,37.40,37.68,8141110
2-Feb-18,37.50,39.19,37.15,38.25,9168193
1-Feb-18,36.73,37.17,36.63,36.79,3092303
31-Jan-18,36.65,37.20,36.31,36.84,2660286
30-Jan-18,36.61,37.47,36.61,36.62,3333433
29-Jan-18,36.53,36.76,35.99,36.61,1474345
26-Jan-18,36.79,36.83,36.01,36.67,2320107
25-Jan-18,37.02,37.15,36.52,36.88,2714087
24-Jan-18,36.88,37.39,36.59,36.86,2733963
23-Jan-18,35.99,36.81,35.71,36.78,2371566
22-Jan-18,36.30,37.79,35.90,35.99,4006897
19-Jan-18,35.22,35.59,35.02,35.45,2452417
18-Jan-18,35.33,35.34,34.66,35.13,2293931
17-Jan-18,35.50,35.50,35.05,35.33,1565254
16-Jan-18,35.55,35.76,34.96,35.24,2606149
12-Jan-18,35.15,35.52,34.56,35.49,3094431
11-Jan-18,34.35,35.33,34.35,35.27,2913291
10-Jan-18,34.22,34.66,34.07,34.23,2032848
9-Jan-18,34.38,34.82,34.21,34.21,1719497
8-Jan-18,34.48,34.60,34.23,34.46,2333073
5-Jan-18,35.37,35.38,34.49,34.65,2034514
4-Jan-18,34.50,35.35,34.42,35.24,3509383
3-Jan-18,33.94,34.52,33.77,34.43,1975743
2-Jan-18,35.21,35.21,33.86,34.02,2129202
29-Dec-17,35.45,35.45,35.16,35.16,1017964
28-Dec-17,35.30,35.39,35.02,35.37,1117436
27-Dec-17,35.22,35.34,34.96,35.20,969466
26-Dec-17,35.26,35.63,35.01,35.24,1102697
22-Dec-17,35.14,35.27,34.92,35.17,1549316
21-Dec-17,35.25,35.38,35.05,35.06,2098548
20-Dec-17,35.43,35.61,35.07,35.19,2591826
19-Dec-17,35.77,35.96,35.31,35.32,2764279
18-Dec-17,36.38,36.52,35.37,35.51,2854988
15-Dec-17,35.33,36.56,35.33,36.25,4109932
14-Dec-17,35.85,36.05,35.04,35.11,2440969
13-Dec-17,37.00,37.09,36.08,36.10,1923082
12-Dec-17,37.03,37.22,36.88,37.03,1252780
11-Dec-17,36.73,36.84,36.43,36.82,1413553
8-Dec-17,36.68,36.87,36.27,36.87,2030996
7-Dec-17,37.36,37.46,36.52,36.73,2053061
6-Dec-17,37.37,37.68,37.11,37.45,1728960
5-Dec-17,37.98,38.05,37.20,37.32,1939911
4-Dec-17,38.68,38.79,37.89,37.94,2503463
1-Dec-17,38.96,39.04,37.98,38.45,1724501
30-Nov-17,39.70,39.93,38.55,38.82,4318330
29-Nov-17,39.17,39.94,39.00,39.54,3180049
28-Nov-17,38.82,39.18,38.48,39.03,1517896
27-Nov-17,38.19,39.07,37.95,38.85,1940957
24-Nov-17,38.31,38.42,37.98,38.08,511204
22-Nov-17,38.28,38.60,37.97,38.25,1398391
21-Nov-17,38.84,38.84,38.28,38.30,1239991
20-Nov-17,38.61,38.75,38.23,38.72,2185497
17-Nov-17,38.58,38.80,38.26,38.63,2711379
16-Nov-17,39.29,39.33,38.65,38.67,2303864
15-Nov-17,38.76,39.35,38.63,39.23,2346568
14-Nov-17,39.21,39.25,38.78,39.00,2205484
13-Nov-17,39.64,39.66,39.12,39.40,1693818
10-Nov-17,40.15,40.27,39.57,39.71,1779806
9-Nov-17,39.14,40.51,39.14,40.14,4498842
8-Nov-17,39.98,39.98,39.50,39.53,1816196
7-Nov-17,39.80,40.57,39.74,39.91,2140007
6-Nov-17,39.93,39.98,39.33,39.69,2118571
3-Nov-17,39.41,40.12,38.88,40.04,4327861
2-Nov-17,40.44,40.71,38.48,39.48,5375822
1-Nov-17,40.60,40.78,40.10,40.34,3137209
31-Oct-17,41.28,41.67,40.32,40.47,3009915
30-Oct-17,40.68,41.60,40.68,41.26,3310356
27-Oct-17,40.83,41.10,40.31,40.80,1934506
26-Oct-17,41.71,41.95,40.75,40.85,2944801
25-Oct-17,41.47,42.83,41.20,41.49,3178675
24-Oct-17,42.24,42.81,42.06,42.32,2587187
23-Oct-17,42.39,42.58,41.90,42.21,2213730
20-Oct-17,42.96,42.99,42.30,42.51,2949357
19-Oct-17,41.18,42.49,41.16,42.46,3116430
18-Oct-17,42.03,42.06,41.22,41.34,3888223
17-Oct-17,41.77,42.08,41.32,42.02,4586915
16-Oct-17,41.59,42.54,41.24,41.64,4518906
13-Oct-17,39.40,41.63,38.97,41.51,6374224
12-Oct-17,40.63,40.94,40.03,40.67,5269712
11-Oct-17,39.42,39.46,38.99,39.02,168481
10-Oct-17,39.39,39.84,39.11,39.67,2239771
9-Oct-17,39.55,39.55,39.00,39.32,1268641
6-Oct-17,39.55,39.99,39.42,39.57,2531083
5-Oct-17,39.15,39.57,38.80,39.54,2346735
4-Oct-17,39.53,39.80,39.02,39.15,3416687
3-Oct-17,39.66,39.83,39.00,39.80,3522441
2-Oct-17,39.22,39.74,38.72,39.61,3409955
29-Sep-17,39.11,39.70,39.10,39.45,3302956
28-Sep-17,38.02,39.16,37.47,39.11,3768478
27-Sep-17,38.54,38.84,37.96,37.99,4744100
26-Sep-17,39.19,39.19,38.20,38.23,3188701
25-Sep-17,39.16,39.87,38.73,39.41,2955819
22-Sep-17,39.44,39.71,38.83,39.19,2432560
21-Sep-17,39.20,39.70,39.15,39.64,1985796
20-Sep-17,39.13,39.26,38.39,39.03,1410588
19-Sep-17,39.20,39.78,39.01,39.03,2995204
18-Sep-17,39.53,39.60,39.10,39.17,1921924
15-Sep-17,39.20,39.75,38.81,39.37,4058988
14-Sep-17,40.26,40.47,39.10,39.24,2345024
13-Sep-17,40.38,40.65,40.10,40.64,2384164
12-Sep-17,40.53,40.91,40.00,40.45,2202780
11-Sep-17,41.74,42.93,39.82,40.55,6295236
8-Sep-17,36.10,39.09,36.08,38.61,6561239
7-Sep-17,38.39,38.39,36.02,36.48,4304206
6-Sep-17,38.33,38.95,38.04,38.45,4223746
5-Sep-17,40.04,40.22,37.84,38.27,5923949
1-Sep-17,41.05,41.68,40.31,40.62,3207818
31-Aug-17,41.41,41.41,40.77,40.96,2944660
30-Aug-17,41.78,41.93,41.24,41.30,1716047
29-Aug-17,41.56,41.92,41.36,41.79,1781947
28-Aug-17,42.65,42.73,41.55,41.85,1589825
25-Aug-17,42.53,43.03,42.22,43.01,1776531
24-Aug-17,43.44,43.44,42.46,42.52,1870530
23-Aug-17,43.86,43.98,43.34,43.34,1319278
22-Aug-17,43.87,44.03,43.66,44.00,1272916
21-Aug-17,43.81,43.90,43.65,43.80,1008853
18-Aug-17,43.83,43.94,43.50,43.79,1644772
17-Aug-17,44.59,44.65,43.90,43.96,1239084
16-Aug-17,44.82,45.00,44.52,44.62,757606
15-Aug-17,44.75,45.01,44.64,44.72,1096919
14-Aug-17,44.69,44.80,44.51,44.70,1004883
11-Aug-17,44.51,44.56,44.34,44.41,951647
10-Aug-17,44.35,44.76,44.35,44.50,950109
9-Aug-17,44.17,44.68,44.12,44.67,956009
8-Aug-17,44.37,44.70,44.25,44.28,962495
7-Aug-17,44.30,44.50,44.13,44.47,936928
4-Aug-17,44.47,44.56,44.09,44.27,1317810
3-Aug-17,44.45,44.63,44.27,44.30,1980427
2-Aug-17,44.49,44.90,44.24,44.50,1718794
1-Aug-17,44.55,44.94,44.26,44.54,2224310
31-Jul-17,-,44.52,-,44.40,2692107
28-Jul-17,43.11,43.49,42.77,43.40,2232181
27-Jul-17,44.03,44.80,42.31,42.88,3435643
26-Jul-17,46.32,46.58,45.83,45.98,1850109
25-Jul-17,47.10,47.27,46.26,46.36,1217364
24-Jul-17,46.43,46.77,46.28,46.66,895229
21-Jul-17,46.28,46.45,46.20,46.41,814678
20-Jul-17,46.11,46.48,45.86,46.28,1013103
19-Jul-17,45.85,46.09,45.72,46.08,787725
18-Jul-17,45.29,45.89,45.17,45.75,1190057
17-Jul-17,45.14,45.37,44.95,45.28,771739
14-Jul-17,44.88,45.34,44.71,45.17,704672
13-Jul-17,45.28,45.37,45.03,45.03,1241781
12-Jul-17,45.00,45.39,44.86,45.20,1131926
11-Jul-17,45.10,45.22,44.73,44.88,1052900
10-Jul-17,44.82,45.19,44.70,45.01,931773
7-Jul-17,44.47,45.10,44.35,44.95,1050596
6-Jul-17,44.31,44.61,44.12,44.38,1729734
5-Jul-17,44.50,44.60,44.12,44.25,1302720
3-Jul-17,44.09,44.83,44.02,44.51,716507
30-Jun-17,44.23,44.37,43.72,43.80,1291808
29-Jun-17,44.43,44.58,43.89,44.14,1513605
28-Jun-17,44.19,44.30,44.05,44.17,1142812
27-Jun-17,43.70,44.24,43.55,44.00,1658784
26-Jun-17,43.45,43.72,43.22,43.62,1031913
23-Jun-17,43.29,43.56,43.05,43.41,2349939
22-Jun-17,43.92,44.13,43.22,43.27,1587951
21-Jun-17,44.43,44.45,43.98,44.01,1193789
20-Jun-17,44.10,44.39,44.03,44.20,1003237
19-Jun-17,44.17,44.39,44.06,44.10,1437592
16-Jun-17,43.56,44.05,43.35,44.04,2526016
15-Jun-17,42.62,43.63,42.60,43.48,1715190
14-Jun-17,42.34,43.07,42.30,42.81,2225765
13-Jun-17,42.03,42.50,41.99,42.37,3913877
12-Jun-17,42.51,42.61,41.90,42.17,1845201
9-Jun-17,42.31,42.66,42.10,42.57,2630527
8-Jun-17,42.06,42.36,41.75,42.22,2136930
7-Jun-17,42.63,42.74,42.44,42.50,1284749
6-Jun-17,42.68,42.76,42.36,42.53,1407612
5-Jun-17,43.22,43.37,42.71,42.78,1721336
2-Jun-17,43.69,43.74,43.03,43.28,1556478
1-Jun-17,43.75,43.84,43.52,43.62,1238407
31-May-17,43.38,43.71,43.25,43.69,1642974
30-May-17,43.19,43.59,43.07,43.40,1509863
26-May-17,43.37,43.59,43.26,43.30,1105576
25-May-17,42.79,43.44,42.68,43.36,1428128
24-May-17,42.40,42.70,42.35,42.66,949166
23-May-17,41.91,42.36,41.88,42.36,1924110
22-May-17,41.54,41.94,41.50,41.89,1096326
19-May-17,42.22,42.28,41.37,41.45,1925202
18-May-17,41.84,42.39,41.64,42.26,1193268
17-May-17,41.59,41.94,41.52,41.79,1306647
16-May-17,41.95,42.24,41.84,42.01,949557
15-May-17,41.87,42.13,41.80,41.92,1102815
12-May-17,41.70,42.12,41.63,41.86,1342918
11-May-17,41.67,41.98,41.53,41.84,955668
10-May-17,41.84,42.06,41.84,41.94,1025803
9-May-17,41.95,42.26,41.92,42.00,1622669
8-May-17,42.35,42.45,41.83,41.90,1241872
5-May-17,42.57,42.67,42.30,42.37,1074574
4-May-17,42.40,42.75,42.29,42.50,1366640
3-May-17,42.01,42.43,41.97,42.28,1310349
2-May-17,42.26,42.46,41.91,41.99,1360385
1-May-17,42.06,42.36,41.85,42.23,1405452
28-Apr-17,42.91,42.94,41.82,41.85,2455640
27-Apr-17,42.85,43.52,42.28,42.91,2373029
26-Apr-17,41.62,42.32,41.56,41.93,2740677
25-Apr-17,41.15,41.76,41.03,41.63,1884747
24-Apr-17,41.03,41.09,40.65,41.00,1398843
21-Apr-17,40.33,40.69,40.32,40.41,1232517
20-Apr-17,40.43,40.55,40.18,40.36,1258914
19-Apr-17,40.57,40.65,40.27,40.39,1069972
18-Apr-17,40.45,40.66,40.28,40.38,1195148
17-Apr-17,40.19,40.71,40.10,40.67,922424
13-Apr-17,40.27,40.36,39.96,40.01,1195722
12-Apr-17,40.46,40.53,40.15,40.34,1372698
11-Apr-17,40.09,40.53,40.03,40.51,1770358
10-Apr-17,39.73,40.28,39.73,40.10,1156618
7-Apr-17,39.67,40.06,39.60,39.82,2517529
6-Apr-17,39.33,39.82,39.23,39.80,1694327
5-Apr-17,39.93,40.18,39.35,39.38,1504641
4-Apr-17,39.45,39.73,39.24,39.72,1334070
3-Apr-17,39.88,39.99,39.12,39.40,1628365
31-Mar-17,40.06,40.26,39.85,39.86,1611772
30-Mar-17,40.18,40.55,40.13,40.14,1716709
29-Mar-17,40.30,40.42,40.18,40.25,915363
28-Mar-17,39.94,40.52,39.91,40.42,1402262
27-Mar-17,39.49,40.01,39.24,40.00,1128697
24-Mar-17,39.95,40.29,39.73,39.83,1138607
23-Mar-17,40.05,40.40,39.92,39.95,1137773
22-Mar-17,39.90,40.20,39.68,40.11,1115422
21-Mar-17,40.47,40.47,39.89,39.92,1519557
20-Mar-17,40.17,40.34,39.96,40.28,1100660
17-Mar-17,39.95,40.42,39.82,40.21,2613667
16-Mar-17,40.15,40.34,39.75,39.94,1477444
15-Mar-17,40.16,40.34,39.99,40.13,1016338
14-Mar-17,39.84,40.27,39.72,40.14,1263003
13-Mar-17,40.15,40.19,39.65,39.85,2113860
10-Mar-17,40.42,40.56,40.18,40.45,1051534
9-Mar-17,40.35,40.61,40.30,40.34,1348418
8-Mar-17,40.28,40.45,40.06,40.32,1178693
7-Mar-17,39.89,40.22,39.78,40.13,1323813
6-Mar-17,40.10,40.21,39.78,39.90,1844865
