Date,Open,High,Low,Close,Volume
23-Feb-18,30.53,30.88,30.33,30.87,1350615
22-Feb-18,30.50,30.55,30.04,30.23,1799890
21-Feb-18,31.15,31.41,30.35,30.38,2391384
20-Feb-18,30.36,31.17,30.11,31.03,3287637
16-Feb-18,30.43,30.80,30.25,30.55,2274171
15-Feb-18,30.00,30.57,29.74,30.50,2289611
14-Feb-18,29.00,29.88,28.88,29.79,2662111
13-Feb-18,29.74,29.82,29.10,29.17,3204236
12-Feb-18,29.84,30.30,29.54,29.95,3225071
9-Feb-18,30.08,30.16,28.48,29.61,3781442
8-Feb-18,31.25,31.37,29.80,29.80,3557055
7-Feb-18,30.73,31.40,30.73,31.18,2983504
6-Feb-18,30.94,31.53,30.22,30.85,4431244
5-Feb-18,31.80,32.68,31.38,31.38,4104575
2-Feb-18,32.51,32.51,31.54,31.63,3526028
1-Feb-18,34.10,34.33,32.56,32.75,8154921
31-Jan-18,33.88,37.42,33.60,34.13,17964257
30-Jan-18,32.62,32.84,32.26,32.68,2213009
29-Jan-18,32.79,32.97,32.69,32.84,1222781
26-Jan-18,32.76,32.88,32.43,32.83,2086851
25-Jan-18,32.48,32.54,32.12,32.38,1479103
24-Jan-18,32.66,32.67,32.25,32.36,1676853
23-Jan-18,32.57,32.74,32.20,32.58,1532980
22-Jan-18,32.64,33.08,32.08,32.64,3574627
19-Jan-18,31.47,31.89,31.30,31.80,1578866
18-Jan-18,31.82,31.83,31.31,31.37,1528292
17-Jan-18,32.43,32.43,31.86,31.92,1724827
16-Jan-18,32.85,32.97,32.24,32.35,1731522
12-Jan-18,31.72,32.84,31.61,32.77,3323902
11-Jan-18,31.96,32.51,31.24,31.86,4010188
10-Jan-18,30.17,30.39,30.03,30.35,994900
9-Jan-18,30.28,30.55,30.15,30.19,1585870
8-Jan-18,29.89,30.28,29.87,30.26,1282197
5-Jan-18,29.80,29.94,29.55,29.91,1542135
4-Jan-18,29.47,29.72,29.34,29.69,2565933
3-Jan-18,29.41,29.48,29.02,29.33,1907546
2-Jan-18,29.38,29.48,29.11,29.37,1776767
29-Dec-17,29.40,29.47,29.12,29.15,1537390
28-Dec-17,29.25,29.48,29.11,29.45,1032378
27-Dec-17,29.42,29.69,29.35,29.48,908700
26-Dec-17,29.51,29.69,29.32,29.41,1410761
22-Dec-17,29.72,29.77,29.50,29.58,971561
21-Dec-17,29.98,30.02,29.64,29.71,1784317
20-Dec-17,30.22,30.28,29.95,29.99,1707345
19-Dec-17,30.22,30.31,29.95,30.01,1769876
18-Dec-17,29.87,30.32,29.87,30.30,2594216
15-Dec-17,29.45,29.86,29.37,29.65,4322622
14-Dec-17,29.39,29.58,29.24,29.31,2211392
13-Dec-17,29.73,30.04,29.37,29.42,4010613
12-Dec-17,29.74,29.98,29.60,29.74,2864342
11-Dec-17,29.59,29.89,29.42,29.59,2589938
8-Dec-17,29.80,29.84,29.46,29.59,1460050
7-Dec-17,29.67,29.88,29.52,29.59,1521971
6-Dec-17,29.42,29.72,29.26,29.64,1404610
5-Dec-17,29.51,29.70,29.23,29.44,2025060
4-Dec-17,29.96,30.44,29.32,29.37,3084794
1-Dec-17,29.62,29.86,29.13,29.72,3169271
30-Nov-17,29.50,29.86,29.27,29.66,3438341
29-Nov-17,29.05,29.49,29.05,29.30,1955628
28-Nov-17,28.29,29.09,28.23,29.00,1705879
27-Nov-17,28.41,28.45,28.18,28.23,1944647
24-Nov-17,28.46,28.51,28.20,28.49,675277
22-Nov-17,28.32,28.48,28.07,28.29,2267220
21-Nov-17,28.62,28.76,28.40,28.43,1429306
20-Nov-17,28.36,28.69,28.27,28.50,2451931
17-Nov-17,28.20,28.46,28.07,28.36,1717554
16-Nov-17,28.30,28.37,28.11,28.26,2219479
15-Nov-17,27.93,28.33,27.55,28.17,1812736
14-Nov-17,28.15,28.49,28.02,28.08,2253347
13-Nov-17,29.04,29.09,28.07,28.17,3355572
10-Nov-17,29.20,29.39,29.02,29.17,1503340
9-Nov-17,29.08,29.56,29.07,29.27,1576988
8-Nov-17,28.59,29.50,28.51,29.37,2301663
7-Nov-17,29.14,29.14,28.54,28.59,2263546
6-Nov-17,29.02,29.24,28.80,29.08,1621409
3-Nov-17,29.51,29.56,28.89,29.06,2916927
2-Nov-17,30.29,30.29,29.46,29.48,2438534
1-Nov-17,30.34,30.52,29.98,30.29,2784793
31-Oct-17,30.14,30.65,29.84,30.31,3553781
30-Oct-17,30.25,30.58,29.85,30.23,3385385
27-Oct-17,30.65,30.77,29.38,30.48,5344864
26-Oct-17,32.83,32.83,29.82,30.65,6999211
25-Oct-17,33.43,33.52,32.94,33.10,1872343
24-Oct-17,33.34,33.63,33.24,33.45,1149653
23-Oct-17,33.49,33.62,33.25,33.28,1005234
20-Oct-17,33.31,33.60,33.19,33.38,2301405
19-Oct-17,32.65,33.11,32.51,33.10,1584702
18-Oct-17,32.81,33.12,32.70,32.84,1160664
17-Oct-17,33.02,33.09,32.64,32.75,1194712
16-Oct-17,33.08,33.12,32.83,33.09,946545
13-Oct-17,32.81,33.24,32.69,33.01,1801502
12-Oct-17,32.69,32.81,32.54,32.71,1178152
11-Oct-17,32.69,32.78,32.67,32.67,41593
10-Oct-17,32.78,32.92,32.61,32.71,1075150
9-Oct-17,33.00,33.12,32.58,32.61,1455460
6-Oct-17,32.99,32.99,32.77,32.92,1004711
5-Oct-17,32.85,33.21,32.80,33.03,1829480
4-Oct-17,33.08,33.21,32.80,32.86,1985526
3-Oct-17,33.46,33.70,33.08,33.10,1552301
2-Oct-17,33.26,33.69,33.24,33.46,1525474
29-Sep-17,33.84,33.84,33.26,33.29,1416568
28-Sep-17,33.72,33.90,33.52,33.86,1785748
27-Sep-17,33.80,34.13,33.58,33.95,1560701
26-Sep-17,33.39,33.80,33.31,33.71,2104384
25-Sep-17,33.00,33.28,32.82,33.25,1229230
22-Sep-17,32.88,33.19,32.74,33.13,1416793
21-Sep-17,32.83,33.00,32.67,32.93,1677381
20-Sep-17,32.44,32.96,32.43,32.88,2391571
19-Sep-17,32.40,32.55,32.28,32.44,1459752
18-Sep-17,32.70,32.74,32.16,32.29,1770215
15-Sep-17,32.58,32.76,32.47,32.64,2868307
14-Sep-17,32.58,32.83,32.45,32.81,975981
13-Sep-17,32.60,32.72,32.41,32.72,865452
12-Sep-17,32.34,32.86,32.25,32.80,1557095
11-Sep-17,31.75,32.16,31.68,32.06,1235941
8-Sep-17,31.75,31.90,31.54,31.56,1594269
7-Sep-17,32.16,32.22,31.87,31.88,1223070
6-Sep-17,32.23,32.34,32.12,32.15,2257858
5-Sep-17,32.49,32.56,31.98,32.12,1134915
1-Sep-17,32.34,32.60,32.34,32.56,898114
31-Aug-17,32.35,32.42,32.15,32.27,2065636
30-Aug-17,32.23,32.40,32.05,32.30,1079688
29-Aug-17,32.10,32.32,32.03,32.24,1123790
